nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
12,1.0,0.0,0.3158,0.0,0.0,,29.0,53.0,53.0,sachs,5864,11,17,7,7,4,6,0,12,154.6994822025299,1850.5776274204247,True,v2,original_ranking,12,"[(0, 5), (9, 10), (3, 6), (5, 10), (6, 7), (5, 8), (0, 6), (1, 6), (1, 5), (3, 9), (6, 8), (2, 5)]",0.0727138519287109,60.38256096839905,77.16632259453021
7,1.0,0.0,0.1842,0.0,0.0,,24.0,53.0,53.0,sachs,606,11,17,7,7,4,6,0,12,154.6994822025299,1853.4317405223849,True,v2,original_ranking,7,"[(3, 5), (2, 5), (5, 7), (3, 9), (5, 10), (0, 5), (1, 5)]",0.0775842666625976,61.73174285888672,40.21788418500225
9,1.0,0.0,0.2368,0.0,0.0,,26.0,53.0,53.0,sachs,1933,11,17,7,7,4,6,0,12,154.6994822025299,1856.084625005722,True,v2,original_ranking,9,"[(8, 9), (3, 5), (5, 7), (3, 6), (1, 5), (7, 9), (9, 10), (4, 5), (2, 9)]",0.0716481208801269,57.348105907440186,-0.6452824796079748
11,1.0,0.0,0.2895,0.0,0.0,,28.0,53.0,53.0,sachs,6071,11,17,7,7,4,6,0,12,154.6994822025299,1858.6337201595304,True,v2,original_ranking,11,"[(1, 5), (3, 9), (3, 5), (0, 5), (0, 9), (2, 9), (5, 8), (1, 6), (6, 10), (9, 10), (6, 7)]",0.0688679218292236,57.0021858215332,41.22823379585932
4,1.0,0.0,0.1053,0.0,0.0,,21.0,53.0,53.0,sachs,5504,11,17,7,7,4,6,0,12,154.6994822025299,1863.0648906230927,True,v2,original_ranking,4,"[(5, 10), (5, 8), (4, 5), (3, 5)]",0.0885610580444336,65.99237966537476,-141.4161072039639
