ST_elapsed,ST_best_model,ST_best_I,ST_total_num_facts,ST_used_num_facts,ST_num_models,CO_elapsed,CO_best_model,CO_best_I,CO_total_num_facts,CO_used_num_facts,CO_num_models,PR_elapsed,PR_best_model,PR_best_I,PR_total_num_facts,PR_used_num_facts,PR_num_models,abapc_existing_elapsed,n_nodes,n_edges,seed,is_best_st_in_all_co,is_best_st_in_all_pr,is_best_pr_in_all_co,is_all_st_subset_of_all_co,is_all_st_subset_of_all_pr,is_all_pr_subset_of_all_co
0.11040925979614258,"frozenset({(4, 0), (5, 4), (1, 3), (3, 2), (4, 2)})",39.832712870977865,57,57,6,2.839262008666992,"frozenset({(4, 5), (4, 0), (3, 1), (3, 2), (4, 2)})",39.832712870977865,57,57,243,1.1398844718933105,"frozenset({(4, 5), (0, 4), (3, 1), (3, 2), (4, 2)})",39.832712870977865,57,57,243,0.38390064239501953,6,6,8328,True,True,True,True,True,True
0.5233533382415771,"frozenset({(4, 0), (5, 0), (2, 1), (3, 1), (2, 0)})",33.87618968208749,50,45,1,2.783576250076294,"frozenset({(4, 0), (5, 0), (2, 1), (3, 1), (2, 0)})",33.87618968208749,50,50,243,1.1150157451629639,"frozenset({(4, 0), (5, 0), (2, 1), (3, 1), (2, 0)})",33.87618968208749,50,50,243,1.045541524887085,6,6,8289,True,True,True,True,True,True
2.746063470840454,"frozenset({(0, 2), (1, 2), (5, 0), (5, 4), (4, 2)})",24.393177139855613,47,24,79,2.5160717964172363,"frozenset({(0, 2), (1, 2), (5, 0), (5, 4), (4, 2)})",24.393177139855613,47,47,237,1.0943188667297363,"frozenset({(0, 2), (1, 2), (5, 0), (5, 4), (4, 2)})",24.393177139855613,47,47,237,3.3461155891418457,6,6,5978,True,True,True,False,False,True
0.3818044662475586,"frozenset({(2, 3), (0, 2), (5, 0), (5, 3), (1, 4)})",21.51970095391361,29,26,12,2.2635297775268555,"frozenset({(2, 3), (0, 2), (0, 5), (5, 3), (1, 4)})",21.51970095391361,29,29,237,0.9244179725646973,"frozenset({(2, 3), (0, 2), (0, 5), (5, 3), (4, 1)})",21.51970095391361,29,29,237,0.770148515701294,6,6,5511,True,True,True,False,False,True
31.845133304595947,"frozenset({(4, 5), (4, 0), (5, 0), (3, 4), (4, 1), (2, 0)})",45.15517615198049,84,40,2995,3.4574875831604004,"frozenset({(4, 3), (5, 4), (0, 4), (4, 1)})",45.971963048983326,84,84,243,1.3636538982391357,"frozenset({(4, 3), (5, 4), (0, 4), (4, 1)})",45.971963048983326,84,84,243,10.158252477645874,6,6,5864,False,False,True,False,False,True
305.2483949661255,"frozenset({(1, 2), (5, 0), (1, 5), (3, 2), (2, 5), (2, 0)})",29.989154299898694,58,31,31619,2.8731017112731934,"frozenset({(2, 3), (5, 0), (2, 0), (5, 1), (5, 2)})",34.99120169834849,58,58,225,1.2082788944244385,"frozenset({(2, 3), (5, 0), (2, 0), (5, 1), (5, 2)})",34.99120169834849,58,58,225,69.6047420501709,6,6,606,False,False,True,False,False,True
1.4769234657287598,"frozenset({(0, 2), (4, 0), (4, 5), (1, 5), (3, 5)})",22.44144493339481,41,26,8,0.6925079822540283,"frozenset({(4, 5), (0, 2), (4, 0), (1, 5)})",21.86297926032662,41,41,81,0.41227173805236816,"frozenset({(4, 5), (0, 2), (4, 0), (1, 5)})",21.86297926032662,41,41,81,1.9342584609985352,6,6,1933,False,False,True,False,False,True
40.68705368041992,"frozenset({(2, 3), (2, 4), (4, 0), (5, 0), (3, 1), (5, 3), (5, 1)})",34.80448286652814,77,44,3002,13.486845016479492,"frozenset({(2, 4), (5, 0), (1, 5), (3, 1), (3, 2)})",37.986869830297024,77,77,727,4.441858530044556,"frozenset({(2, 3), (5, 0), (1, 5), (3, 1), (4, 2)})",37.986869830297024,77,77,727,12.090991258621216,6,6,6071,False,False,True,False,False,True
0.1112518310546875,"frozenset({(0, 5), (4, 3), (1, 0), (5, 3), (3, 2)})",50.586515731821954,73,73,3,3.282822370529175,"frozenset({(0, 1), (0, 5), (4, 3), (5, 3), (3, 2)})",50.586515731821954,73,73,243,1.327678918838501,"frozenset({(0, 1), (5, 0), (4, 3), (5, 3), (3, 2)})",50.586515731821954,73,73,243,0.34400272369384766,6,6,5504,True,True,True,True,True,True
0.6646740436553955,"frozenset({(2, 3), (5, 0), (1, 5), (1, 0), (3, 0)})",28.529490440876337,46,40,4,2.5088696479797363,"frozenset({(5, 0), (1, 5), (1, 0), (3, 2), (3, 0)})",28.529490440876337,46,46,225,1.1333117485046387,"frozenset({(2, 3), (5, 0), (1, 5), (1, 0), (3, 0)})",28.529490440876337,46,46,225,1.3977508544921875,6,6,5163,True,True,True,True,True,True
0.09074831008911133,"frozenset({(5, 4), (0, 3), (3, 4)})",18.218882932488135,26,26,2,0.26320838928222656,"frozenset({(5, 4), (3, 4), (3, 0)})",18.218882932488135,26,26,27,0.1986246109008789,"frozenset({(5, 4), (3, 4), (3, 0)})",18.218882932488135,26,26,27,0.3330988883972168,6,6,2406,True,True,True,True,True,True
7.150938987731934,"frozenset({(1, 2), (3, 4), (0, 5), (1, 5), (0, 3), (1, 4)})",22.249506743924343,72,27,432,12.79318118095398,"frozenset({(1, 2), (3, 4), (0, 5), (1, 5)})",31.754565759193444,72,72,723,4.273440599441528,"frozenset({(4, 3), (1, 2), (0, 5), (1, 5)})",31.754565759193444,72,72,723,8.680023908615112,6,6,304,True,True,True,False,False,True
40.883553981781006,"frozenset({(2, 3), (2, 1), (4, 3), (3, 5), (3, 0)})",40.0784271809605,84,40,3904,3.498811960220337,"frozenset({(1, 2), (3, 4), (3, 2), (3, 5), (3, 0)})",45.150022396206836,84,84,243,1.3709700107574463,"frozenset({(1, 2), (3, 4), (3, 2), (0, 3), (3, 5)})",45.150022396206836,84,84,243,11.752322673797607,6,6,3391,True,True,True,False,False,True
3.0433475971221924,"frozenset({(2, 3), (4, 0), (3, 4), (1, 5), (1, 0), (3, 5)})",23.28501391519852,60,33,12,2.8725650310516357,"frozenset({(3, 4), (0, 5), (1, 0), (3, 2), (3, 5)})",30.552647977608785,60,60,243,1.1642587184906006,"frozenset({(0, 1), (3, 4), (0, 5), (3, 2), (3, 5)})",30.552647977608785,60,60,243,4.894860744476318,6,6,359,False,False,True,False,False,True
3.8834657669067383,"frozenset({(4, 0), (3, 4), (2, 0), (4, 2), (3, 0), (4, 5), (5, 0), (3, 5)})",28.58454572129948,60,32,144,10.019699573516846,"frozenset({(2, 4), (0, 2), (0, 4), (0, 5), (5, 4), (3, 5)})",30.319725571671217,60,60,621,3.746385335922241,"frozenset({(2, 4), (0, 2), (0, 4), (0, 5), (5, 4), (3, 5)})",30.319725571671217,60,60,621,3.403438091278076,6,6,9096,False,False,True,False,False,True
0.09953737258911133,"frozenset({(5, 0), (2, 1), (1, 4)})",13.775409400971567,18,18,6,0.24114561080932617,"frozenset({(1, 4), (2, 1), (0, 5)})",13.775409400971567,18,18,27,0.16915297508239746,"frozenset({(1, 2), (5, 0), (1, 4)})",13.775409400971567,18,18,27,0.39231109619140625,6,6,3533,True,True,True,True,True,True
0.7498869895935059,"frozenset({(0, 1), (2, 4), (3, 4), (5, 2)})",19.334764878582362,30,23,8,0.8246824741363525,"frozenset({(0, 1), (2, 4), (2, 5), (3, 4)})",19.334764878582362,30,30,81,0.3562605381011963,"frozenset({(0, 1), (2, 4), (2, 5), (3, 4)})",19.334764878582362,30,30,81,0.3815305233001709,6,6,4125,True,True,True,False,False,True
51.76006531715393,"frozenset({(2, 4), (3, 4), (5, 4), (2, 0), (3, 5), (3, 0)})",18.412867689014902,60,23,6740,10.479262113571167,"frozenset({(4, 5), (3, 4), (3, 5), (0, 2)})",20.87189901120158,60,60,657,4.0162858963012695,"frozenset({(5, 3), (0, 2), (4, 5), (4, 3)})",20.87189901120158,60,60,657,15.744046449661255,6,6,3094,True,True,True,False,False,True
30.264878034591675,"frozenset({(1, 2), (5, 0), (3, 4), (1, 5), (3, 2), (4, 2), (3, 0)})",24.07502313534293,53,30,3406,2.8515007495880127,"frozenset({(2, 4), (5, 0), (3, 2), (5, 1), (3, 0)})",27.130586617059052,53,53,243,1.0824482440948486,"frozenset({(2, 3), (5, 0), (1, 5), (4, 2), (3, 0)})",27.130586617059052,53,53,243,11.461132764816284,6,6,6398,False,False,True,False,False,True
