nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
11,1.0,0.0,0.0667,0.0,0.0,,36.0,313.0,337.0,child,5864,20,25,5,5,2,4,0,12,119.00096464157104,1543.087193250656,True,v2,original_ranking,11,"[(5, 14), (0, 2), (0, 17), (3, 17), (14, 16), (6, 8), (0, 5), (8, 11), (4, 18), (17, 18), (9, 14)]",3.2527310848236084,795.377377986908,-2005.3739304985668
9,1.0,0.0,0.0545,0.0,0.0,,34.0,309.0,350.0,child,606,20,25,5,5,2,4,0,12,119.00096464157104,1485.3051466941831,True,v2,original_ranking,9,"[(17, 19), (1, 9), (2, 14), (2, 4), (13, 14), (1, 3), (6, 9), (2, 6), (2, 17)]",4.648144245147705,926.7113473415376,-2077.1657921766164
9,1.0,0.0,0.0545,0.0,0.0,,34.0,310.0,351.0,child,1933,20,25,5,5,2,4,0,12,119.00096464157104,1493.632966041565,True,v2,original_ranking,9,"[(1, 5), (5, 14), (3, 6), (3, 17), (13, 17), (0, 17), (1, 15), (14, 18), (6, 8)]",3.591119766235352,809.9973137378693,-2380.833718529525
10,1.0,0.0,0.0606,0.0,0.0,,35.0,325.0,346.0,child,6071,20,25,5,5,2,4,0,12,119.00096464157104,1493.648164510727,True,v2,original_ranking,10,"[(0, 19), (3, 14), (4, 9), (2, 14), (9, 15), (14, 16), (1, 2), (0, 1), (3, 4), (2, 15)]",6.501773357391357,1139.988290309906,-2026.5885742879568
7,1.0,0.0,0.0424,0.0,0.0,,32.0,325.0,327.0,child,5504,20,25,5,5,2,4,0,12,119.00096464157104,1510.2951483726501,True,v2,original_ranking,7,"[(0, 14), (3, 11), (5, 7), (5, 12), (5, 13), (0, 3), (13, 19)]",5.688151597976685,1045.2112333774567,-2279.382442582473
