nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
4,1.0,0.0,0.0909,0.0,0.0,,15.0,37.0,random_graph_11_11,7816,11,11,7,7,4,6,0,10,225.76703643798828,1012.7635991573334,False,v2,original_ranking,4,"[(1, 6), (2, 8), (6, 9), (2, 3)]",0.0264041423797607,6.008908748626709,13.922433392957936
7,1.0,0.0,0.1591,0.0,0.0,,18.0,50.0,random_graph_11_11,3578,11,11,7,7,4,6,0,10,225.76703643798828,1034.9339628219604,False,v2,original_ranking,7,"[(3, 6), (5, 6), (6, 9), (6, 7), (1, 6), (6, 8), (7, 10)]",0.0584642887115478,12.2437162399292,63.07680841914705
2,1.0,0.0,0.0455,0.0,0.0,,13.0,54.0,random_graph_11_11,2656,11,11,7,7,4,6,0,10,225.76703643798828,1046.470404624939,True,v2,original_ranking,2,"[(5, 10), (2, 5)]",0.0269737243652343,6.266359090805054,-19.5867588856657
6,1.0,0.0,0.1364,0.0,0.0,,17.0,56.0,random_graph_11_11,2688,11,11,7,7,4,6,0,10,225.76703643798828,1070.4605252742767,True,v2,original_ranking,6,"[(3, 7), (4, 7), (1, 2), (1, 8), (7, 9), (2, 7)]",0.0653967857360839,13.98031234741211,-44.47169354818726
3,1.0,0.0,0.0682,0.0,0.0,,14.0,51.0,random_graph_11_11,2494,11,11,7,7,4,6,0,10,225.76703643798828,1066.1020596027374,False,v2,original_ranking,3,"[(8, 10), (3, 8), (7, 8)]",0.0308799743652343,6.726507902145386,18.85537183789248
2,1.0,0.0,0.0455,0.0,0.0,,13.0,41.0,random_graph_11_11,183,11,11,7,7,4,6,0,10,225.76703643798828,1071.0678524971008,False,v2,original_ranking,2,"[(2, 8), (8, 10)]",0.0148420333862304,3.4300427436828613,29.643887969811995
2,1.0,0.0,0.0455,0.0,0.0,,13.0,33.0,random_graph_11_11,7977,11,11,7,7,4,6,0,10,225.76703643798828,1060.8373126983645,False,v2,original_ranking,2,"[(1, 7), (1, 6)]",0.0198681354522705,4.874484539031982,23.73641886109732
7,1.0,0.0,0.1591,0.0,0.0,,18.0,24.0,random_graph_11_11,3199,11,11,7,7,4,6,0,10,225.76703643798828,1005.16090965271,False,v2,original_ranking,7,"[(2, 4), (7, 10), (0, 2), (2, 7), (2, 5), (3, 8), (0, 3)]",0.0230805873870849,5.846832036972046,22.49908003163639
0,0.0,0.0,0.0,,0.0,,11.0,36.0,random_graph_11_11,316,11,11,7,7,4,6,0,10,225.76703643798828,1038.6532571315763,False,v2,original_ranking,0,[],0.0708305835723877,13.527338981628418,-16.985307243383588
3,1.0,0.0,0.0682,0.0,0.0,,14.0,38.0,random_graph_11_11,8266,11,11,7,7,4,6,0,10,225.76703643798828,1023.4060125350952,False,v2,original_ranking,3,"[(1, 2), (0, 1), (1, 8)]",0.028957843780517578,7.010166168212891,5.631576234559696
