nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
9,0.8889,0.0588,0.2105,0.1111,0.0588,0.0769,24.0,52.0,sachs,5163,11,17,7,7,4,6,0,12,160.1979465484619,1875.0828096866608,True,v2,original_ranking,9,"[(6, 8), (3, 5), (4, 9), (8, 10), (9, 10), (1, 6), (4, 6), (2, 9), (3, 9)]",0.0963070392608642,69.47921133041382,-123.0067325160631
9,1.0,0.0,0.2368,0.0,0.0,,26.0,53.0,sachs,2406,11,17,7,7,4,6,0,12,160.1979465484619,1878.813933610916,True,v2,original_ranking,9,"[(1, 9), (0, 5), (0, 9), (1, 6), (2, 6), (6, 10), (9, 10), (3, 9), (8, 9)]",0.0925855636596679,65.89121866226196,-109.19007001516384
10,1.0,0.0,0.2632,0.0,0.0,,27.0,53.0,sachs,304,11,17,7,7,4,6,0,12,160.1979465484619,1879.342000722885,True,v2,original_ranking,10,"[(3, 5), (1, 5), (4, 9), (4, 6), (9, 10), (2, 5), (0, 9), (5, 7), (6, 7), (5, 10)]",0.0809001922607421,63.57415580749512,19.720662115394003
9,1.0,0.0,0.2368,0.0,0.0,,26.0,53.0,sachs,3391,11,17,7,7,4,6,0,12,160.1979465484619,1874.7002549171448,True,v2,original_ranking,9,"[(1, 6), (3, 9), (6, 10), (4, 9), (4, 6), (4, 5), (0, 6), (9, 10), (6, 8)]",0.0509099960327148,42.67596936225891,-43.64617696408767
5,1.0,0.0,0.1316,0.0,0.0,,22.0,53.0,sachs,359,11,17,7,7,4,6,0,12,160.1979465484619,1862.8335831165314,True,v2,original_ranking,5,"[(5, 7), (0, 5), (0, 9), (1, 5), (5, 8)]",0.09985733032226562,73.74773526191711,-83.80491702289969
