nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
2,1.0,0.0,0.0455,0.0,0.0,,12.0,38.0,random_graph_11_11,7816,11,11,4,4,1,3,9,10,450.998318195343,2311.9082732200623,True,v2,original_ranking,2,"[(9, 1), (9, 3)]",0.0320711135864257,7.668779373168945,-6.56604839713728
4,1.0,0.0,0.0909,0.0,0.0,,12.0,58.0,random_graph_11_11,3578,11,11,4,4,1,3,9,10,450.998318195343,2315.70301437378,True,v2,original_ranking,4,"[(7, 3), (7, 1), (4, 1), (0, 3)]",0.0459091663360595,10.696447372436523,-25.83553740028281
5,1.0,0.0,0.1136,0.0,0.0,,15.0,44.0,random_graph_11_11,2656,11,11,4,4,1,3,9,10,450.998318195343,2312.706212282181,True,v2,original_ranking,5,"[(5, 2), (1, 2), (7, 2), (5, 3), (2, 3)]",0.0246326923370361,6.282476425170898,27.372661700940487
8,0.875,0.0909,0.1591,0.125,0.0909,0.1053,17.0,57.0,random_graph_11_11,2688,11,11,4,4,1,3,9,10,450.998318195343,2308.5768077373505,True,v2,original_ranking,8,"[(7, 0), (10, 0), (9, 10), (5, 10), (2, 8), (4, 10), (2, 7), (5, 7)]",0.0582489967346191,13.10938024520874,-33.95469843038731
1,1.0,0.0,0.0227,0.0,0.0,,12.0,59.0,random_graph_11_11,2494,11,11,4,4,1,3,9,10,450.998318195343,2318.045758962631,True,v2,original_ranking,1,"[(7, 5)]",0.0342283248901367,8.234466075897217,-14.121911291716
2,0.5,0.0909,0.0227,0.5,0.0909,0.1538,10.0,41.0,random_graph_11_11,183,11,11,4,4,1,3,9,10,450.998318195343,2199.1705808639526,True,v2,original_ranking,2,"[(6, 0), (8, 0)]",0.0195600986480712,5.0808022022247314,41.55203743295304
2,1.0,0.0,0.0455,0.0,0.0,,13.0,39.0,random_graph_11_11,7977,11,11,4,4,1,3,9,10,450.998318195343,2162.67582654953,True,v2,original_ranking,2,"[(4, 2), (10, 4)]",0.0176830291748046,4.331755876541138,26.44689478248109
1,1.0,0.0,0.0227,0.0,0.0,,12.0,24.0,random_graph_11_11,3199,11,11,4,4,1,3,9,10,450.998318195343,2573.869710683822,True,v2,original_ranking,1,"[(0, 8)]",0.0219597816467285,5.510741233825684,-12.12687076883642
6,1.0,0.0,0.1364,0.0,0.0,,17.0,45.0,random_graph_11_11,316,11,11,4,4,1,3,9,10,450.998318195343,2746.336676836014,True,v2,original_ranking,6,"[(2, 5), (0, 5), (5, 6), (8, 6), (6, 9), (2, 9)]",0.0692181587219238,14.736138582229614,39.50314116031347
0,0.0,0.0,0.0,,0.0,,11.0,38.0,random_graph_11_11,8266,11,11,4,4,1,3,9,10,450.998318195343,2171.4584035873413,True,v2,original_ranking,0,[],0.029147624969482422,6.616019010543823,-13.04806787678031
