nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
7,0.7143,0.25,0.25,0.2857,0.25,0.2667,11.0,24.0,29.0,asia,9096,8,8,6,6,3,5,6,12,763.4833977222443,6626.765109300613,True,v2,original_ranking,7,"[(7, 1), (2, 1), (6, 1), (6, 0), (4, 1), (5, 1), (3, 1)]",0.0272533893585205,25.420690298080444,-17.07763483499424
9,0.8889,0.125,0.4,0.1111,0.125,0.1176,12.0,27.0,27.0,asia,3533,8,8,6,6,3,5,6,12,763.4833977222443,6255.5558841228485,True,v2,original_ranking,9,"[(7, 3), (6, 3), (7, 2), (4, 2), (7, 5), (6, 2), (4, 5), (1, 3), (1, 5)]",0.0223133563995361,22.132222652435303,37.754156360983465
5,0.8,0.125,0.2,0.2,0.125,0.1538,10.0,25.0,25.0,asia,4125,8,8,6,6,3,5,6,12,763.4833977222443,6312.434749364853,True,v2,original_ranking,5,"[(7, 1), (2, 1), (3, 1), (6, 1), (5, 1)]",0.0205936431884765,19.856306791305546,-32.968508038636585
8,0.625,0.375,0.25,0.375,0.375,0.375,10.0,19.0,32.0,asia,3094,8,8,6,6,3,5,6,12,763.4833977222443,6386.344671487808,True,v2,original_ranking,8,"[(2, 1), (6, 1), (5, 1), (4, 1), (6, 0), (6, 3), (5, 3), (6, 7)]",0.0256166458129882,25.932971715927124,10.000110907984704
7,0.7143,0.25,0.25,0.2857,0.25,0.2667,9.0,24.0,24.0,asia,6398,8,8,6,6,3,5,6,12,763.4833977222443,6416.8250143527985,True,v2,original_ranking,7,"[(7, 3), (1, 3), (4, 3), (6, 1), (2, 1), (4, 1), (5, 1)]",0.022193193435668945,22.975505590438843,25.403429362110575
