nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
7,1.0,0.0,0.1842,0.0,0.0,,24.0,53.0,sachs,8823,11,17,7,7,4,6,0,12,162.52536964416504,1934.23112654686,True,v2,original_ranking,7,"[(0, 6), (6, 10), (1, 6), (6, 7), (2, 6), (3, 6), (4, 6)]",0.0733747482299804,60.69931983947754,57.29227309972314
8,1.0,0.0,0.2105,0.0,0.0,,25.0,53.0,sachs,4669,11,17,7,7,4,6,0,12,162.52536964416504,1938.648461818695,True,v2,original_ranking,8,"[(0, 6), (5, 10), (6, 7), (1, 5), (2, 6), (4, 5), (5, 7), (5, 8)]",0.0723814964294433,58.90938353538513,40.96755887121573
8,1.0,0.0,0.2105,0.0,0.0,,25.0,53.0,sachs,6131,11,17,7,7,4,6,0,12,162.52536964416504,1931.05724143982,True,v2,original_ranking,8,"[(6, 8), (1, 6), (0, 5), (4, 5), (6, 10), (5, 7), (2, 6), (2, 5)]",0.0727932453155517,59.10585784912109,-28.146774252898297
6,1.0,0.0,0.1579,0.0,0.0,,23.0,53.0,sachs,2617,11,17,7,7,4,6,0,12,162.52536964416504,1945.5877006053925,True,v2,original_ranking,6,"[(3, 5), (5, 8), (0, 5), (4, 5), (5, 10), (5, 7)]",0.0737314224243164,60.45970129966736,25.468192978760797
9,1.0,0.0,0.2368,0.0,0.0,,26.0,53.0,sachs,7166,11,17,7,7,4,6,0,12,162.52536964416504,1929.1312351226807,True,v2,original_ranking,9,"[(4, 5), (1, 6), (0, 6), (0, 5), (2, 5), (0, 9), (6, 7), (5, 7), (6, 10)]",0.04705548286437988,43.292420387268066,-20.708508321738208
