nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
9,1.0,0.0,0.2368,0.0,0.0,,26.0,53.0,sachs,9096,11,17,7,7,4,6,0,12,174.0515615940094,1972.3854444026947,True,v2,original_ranking,9,"[(1, 5), (0, 6), (5, 7), (6, 7), (4, 6), (2, 5), (6, 8), (5, 10), (6, 10)]",0.0662238597869873,59.088109731674194,45.48305560625556
11,1.0,0.0,0.2895,0.0,0.0,,28.0,53.0,sachs,3533,11,17,7,7,4,6,0,12,174.0515615940094,1993.120670080185,True,v2,original_ranking,11,"[(8, 9), (4, 6), (4, 5), (5, 10), (1, 6), (0, 9), (0, 6), (9, 10), (6, 7), (7, 9), (3, 9)]",0.0957262516021728,71.94848561286926,20.9922804189708
8,1.0,0.0,0.2105,0.0,0.0,,25.0,53.0,sachs,4125,11,17,7,7,4,6,0,12,174.0515615940094,1982.2830979824064,True,v2,original_ranking,8,"[(4, 6), (0, 6), (6, 7), (5, 7), (2, 5), (2, 9), (0, 9), (5, 10)]",0.0857269763946533,65.90319347381592,-78.26618599836212
7,1.0,0.0,0.1842,0.0,0.0,,24.0,53.0,sachs,3094,11,17,7,7,4,6,0,12,174.0515615940094,1993.0820724964144,True,v2,original_ranking,7,"[(6, 10), (0, 6), (2, 9), (4, 6), (6, 7), (2, 5), (6, 8)]",0.0630056858062744,50.6495475769043,-36.18610817725254
9,1.0,0.0,0.2368,0.0,0.0,,26.0,53.0,sachs,6398,11,17,7,7,4,6,0,12,174.0515615940094,2011.2374305725098,True,v2,original_ranking,9,"[(0, 6), (6, 7), (5, 8), (3, 6), (2, 5), (9, 10), (5, 10), (0, 9), (3, 5)]",0.07114982604980469,56.04617381095886,-3.7608239872182936
