nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
64,0.8438,0.4,0.3273,0.1562,0.4,0.2247,65.0,173.0,child,5163,20,25,3,3,0,2,3,5,264.8455696105957,4376.345924377441,True,v2,original_ranking,64,"[(3, 5), (18, 5), (2, 5), (11, 5), (6, 5), (0, 5), (9, 5), (7, 5), (15, 5), (16, 5), (8, 5), (12, 5), (10, 5), (14, 5), (13, 5), (17, 5), (4, 5), (6, 19), (15, 19), (6, 2), (6, 13), (15, 13), (6, 18), (15, 18), (6, 7), (15, 7), (6, 8), (15, 8), (6, 17), (15, 17), (6, 0), (15, 1), (6, 10), (15, 10), (6, 9), (15, 9), (6, 12), (15, 12), (6, 4), (15, 4), (6, 16), (15, 16), (11, 19), (11, 3), (11, 8), (11, 13), (11, 2), (11, 0), (11, 9), (11, 18), (11, 17), (11, 12), (11, 16), (11, 7), (11, 10), (11, 4), (11, 14), (3, 19), (14, 8), (8, 10), (15, 6), (11, 6), (10, 18), (8, 16)]",5.606628179550171,7762.539885520935,3006.3522809081546
111,0.8649,0.6,0.5818,0.1351,0.6,0.2206,101.0,86.0,child,2406,20,25,3,3,0,2,3,5,264.8455696105957,4367.781468629837,True,v2,original_ranking,111,"[(4, 2), (6, 2), (0, 2), (16, 2), (7, 2), (5, 2), (6, 9), (16, 9), (4, 9), (15, 2), (1, 9), (0, 9), (6, 17), (12, 2), (0, 17), (3, 9), (4, 13), (7, 9), (0, 13), (4, 17), (1, 17), (4, 18), (7, 13), (6, 11), (4, 11), (5, 9), (15, 13), (6, 18), (15, 9), (6, 8), (4, 8), (0, 8), (0, 18), (15, 17), (0, 11), (5, 13), (10, 2), (1, 11), (7, 18), (6, 13), (7, 8), (7, 17), (7, 11), (15, 18), (16, 8), (6, 14), (4, 14), (15, 11), (15, 8), (0, 14), (5, 18), (5, 8), (3, 2), (10, 9), (12, 9), (16, 18), (16, 13), (10, 11), (10, 14), (10, 8), (10, 17), (1, 18), (1, 13), (12, 11), (6, 19), (4, 19), (12, 17), (12, 8), (10, 13), (12, 14), (10, 18), (16, 19), (0, 19), (15, 19), (1, 19), (7, 19), (5, 19), (12, 18), (12, 19), (6, 10), (15, 10), (0, 10), (4, 10), (12, 13), (4, 3), (7, 10), (1, 10), (5, 3), (12, 10), (16, 3), (10, 3), (6, 5), (6, 12), (7, 12), (6, 0), (7, 0), (6, 1), (7, 1), (6, 15), (7, 15), (6, 16), (7, 4), (6, 4), (12, 0), (5, 16), (4, 0), (4, 15), (4, 12), (15, 5), (15, 16), (7, 6)]",6.160262584686279,6115.499717950821,2788.9192396195626
