nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
7,0.8571,0.125,0.3,0.1429,0.125,0.1333,12.0,33.0,asia,8823,8,8,6,6,3,5,6,12,774.6580631732941,6368.407396554947,True,v2,original_ranking,7,"[(7, 1), (4, 1), (2, 1), (6, 1), (5, 1), (3, 5), (2, 5)]",0.0246796607971191,24.4478542804718,-2.598400057863463
7,0.8571,0.125,0.3,0.1429,0.125,0.1333,11.0,28.0,asia,4669,8,8,6,6,3,5,6,12,774.6580631732941,6215.460312366486,True,v2,original_ranking,7,"[(0, 6), (2, 6), (4, 6), (3, 6), (7, 3), (5, 3), (1, 7)]",0.0266938209533691,25.16934061050415,5.40253409538253
9,0.6667,0.375,0.3,0.3333,0.375,0.3529,11.0,9.0,asia,6131,8,8,6,6,3,5,6,12,774.6580631732941,6154.943088769913,True,v2,original_ranking,9,"[(6, 3), (5, 3), (5, 1), (6, 2), (5, 2), (6, 7), (5, 7), (6, 4), (5, 4)]",0.0231544971466064,23.14874005317688,82.0914786774927
5,0.8,0.125,0.2,0.2,0.125,0.1538,10.0,25.0,asia,2617,8,8,6,6,3,5,6,12,774.6580631732941,6146.554537057877,True,v2,original_ranking,5,"[(7, 1), (3, 1), (6, 1), (2, 1), (5, 1)]",0.0230538845062255,22.37428569793701,-28.76195453024477
10,0.8,0.25,0.4,0.2,0.25,0.2222,12.0,35.0,asia,7166,8,8,6,6,3,5,6,12,774.6580631732941,6235.607618570328,True,v2,original_ranking,10,"[(5, 3), (2, 3), (5, 6), (2, 6), (5, 7), (2, 7), (5, 1), (2, 1), (5, 4), (2, 4)]",0.02651834487915039,26.664880752563477,73.16151055214213
