nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
7,0.8571,0.125,0.3,0.1429,0.125,0.1333,11.0,23.0,23.0,asia,3595,8,8,6,6,3,5,6,12,725.7602231502533,5650.779381036758,True,v2,original_ranking,7,"[(3, 1), (7, 1), (4, 1), (5, 3), (7, 3), (2, 3), (6, 3)]",0.02439546585083,24.96425104141236,11.704396882698695
10,0.8,0.25,0.4,0.2,0.25,0.2222,14.0,17.0,17.0,asia,4187,8,8,6,6,3,5,6,12,725.7602231502533,5627.052091836929,True,v2,original_ranking,10,"[(6, 7), (4, 7), (4, 1), (3, 1), (4, 2), (3, 2), (3, 7), (6, 1), (6, 5), (3, 5)]",0.022897720336914,23.01616334915161,44.02134136771005
10,0.8,0.25,0.4,0.2,0.25,0.2222,14.0,15.0,15.0,asia,4135,8,8,6,6,3,5,6,12,725.7602231502533,5683.511164903641,True,v2,original_ranking,10,"[(5, 2), (4, 2), (5, 7), (4, 7), (5, 1), (4, 1), (5, 3), (4, 3), (5, 6), (4, 6)]",0.0235917568206787,24.45874524116516,72.9512598400219
9,0.7778,0.25,0.35,0.2222,0.25,0.2353,12.0,28.0,36.0,asia,5174,8,8,6,6,3,5,6,12,725.7602231502533,5747.035701274872,True,v2,original_ranking,9,"[(2, 4), (5, 1), (2, 1), (5, 6), (2, 6), (1, 4), (7, 3), (6, 3), (1, 3)]",0.0291862487792968,30.733809232711792,45.54394191058181
5,0.6,0.25,0.15,0.4,0.25,0.3077,8.0,25.0,30.0,asia,5303,8,8,6,6,3,5,6,12,725.7602231502533,5726.1561114788055,True,v2,original_ranking,5,"[(7, 3), (6, 3), (2, 3), (3, 1), (2, 1)]",0.02238774299621582,23.865560293197632,-12.1457815374151
