nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
4,1.0,0.0,0.0242,0.0,0.0,,29.0,332.0,child,3942,20,25,5,5,2,4,0,12,109.49892592430116,1378.676329612732,True,v2,original_ranking,4,"[(9, 17), (4, 9), (13, 17), (13, 14)]",4.706222772598267,889.6763503551483,-3023.0677666207466
11,1.0,0.0,0.0667,0.0,0.0,,36.0,334.0,child,2778,20,25,5,5,2,4,0,12,109.49892592430116,1379.6481864452362,True,v2,original_ranking,11,"[(2, 6), (1, 2), (5, 12), (3, 6), (1, 19), (12, 17), (1, 9), (1, 5), (9, 11), (5, 13), (1, 16)]",3.462201833724976,820.6269681453705,-1714.4245270510146
7,1.0,0.0,0.0424,0.0,0.0,,32.0,325.0,child,2804,20,25,5,5,2,4,0,12,109.49892592430116,1383.8736536502838,True,v2,original_ranking,7,"[(3, 11), (3, 15), (1, 16), (4, 16), (1, 2), (5, 13), (5, 12)]",5.549793720245361,972.525132894516,-2594.5802511337847
10,1.0,0.0,0.0606,0.0,0.0,,35.0,336.0,child,2145,20,25,5,5,2,4,0,12,109.49892592430116,1380.022652387619,True,v2,original_ranking,10,"[(9, 14), (2, 11), (9, 13), (0, 2), (3, 6), (2, 15), (14, 16), (3, 14), (13, 18), (13, 17)]",5.122570991516113,941.6964044570924,-2753.138734253392
10,1.0,0.0,0.0606,0.0,0.0,,35.0,336.0,child,150,20,25,5,5,2,4,0,12,109.49892592430115,1386.7452335357666,True,v2,original_ranking,10,"[(17, 18), (14, 18), (5, 12), (1, 2), (5, 13), (1, 17), (2, 6), (1, 14), (3, 6), (3, 11)]",1.9475963115692139,593.2959899902344,-1778.460574042659
