nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
1,1.0,0.0,0.05,0.0,0.0,,9.0,15.0,random_graph_8_8,7816,8,8,6,6,3,5,6,10,1011.1737632751464,2917.6368112564087,True,v2,original_ranking,1,"[(6, 3)]",0.0277135372161865,5.9113359451293945,-71.41794353698701
9,1.0,0.0,0.45,0.0,0.0,,15.0,44.0,random_graph_8_8,3578,8,8,6,6,3,5,6,10,1011.1737632751464,2925.386374473572,True,v2,original_ranking,9,"[(3, 2), (5, 6), (4, 6), (6, 2), (3, 6), (0, 4), (7, 6), (7, 3), (1, 3)]",0.025146484375,6.11864447593689,40.91032837985797
9,0.8889,0.125,0.4,0.1111,0.125,0.1176,15.0,16.0,random_graph_8_8,2656,8,8,6,6,3,5,6,10,1011.1737632751464,2973.327927350998,True,v2,original_ranking,9,"[(4, 0), (1, 0), (2, 0), (5, 7), (3, 7), (1, 7), (4, 7), (3, 0), (6, 4)]",0.0226469039916992,5.638872146606445,-3.9474983405638335
5,0.8,0.125,0.2,0.2,0.125,0.1538,10.0,26.0,random_graph_8_8,2688,8,8,6,6,3,5,6,10,1011.1737632751464,3004.334499835968,True,v2,original_ranking,5,"[(3, 5), (1, 5), (6, 0), (3, 0), (1, 7)]",0.0167016983032226,4.096834897994995,-10.644864850921843
9,0.6667,0.375,0.3,0.3333,0.375,0.3529,9.0,38.0,random_graph_8_8,2494,8,8,6,6,3,5,6,10,1011.1737632751464,2967.1691887378693,True,v2,original_ranking,9,"[(7, 1), (4, 1), (5, 2), (3, 2), (0, 2), (7, 2), (7, 3), (4, 3), (0, 1)]",0.0444717407226562,11.467805862426758,56.21326737898156
6,1.0,0.0,0.3,0.0,0.0,,12.0,34.0,random_graph_8_8,183,8,8,6,6,3,5,6,10,1011.1737632751464,3272.784962415695,True,v2,original_ranking,6,"[(7, 0), (2, 0), (6, 0), (4, 0), (6, 2), (1, 2)]",0.0270822048187255,6.841865539550781,9.642647935264158
4,0.75,0.125,0.15,0.25,0.125,0.1667,10.0,16.0,random_graph_8_8,7977,8,8,6,6,3,5,6,10,1011.1737632751464,3314.129337310791,True,v2,original_ranking,4,"[(7, 1), (2, 1), (5, 4), (1, 4)]",0.0196537971496582,4.715580940246582,2.358868820599642
3,0.3333,0.25,0.05,0.6667,0.25,0.3636,7.0,14.0,random_graph_8_8,3199,8,8,6,6,3,5,6,10,1011.1737632751464,3299.3548390865326,True,v2,original_ranking,3,"[(2, 6), (7, 3), (2, 3)]",0.0190403461456298,4.691687345504761,9.394323178425154
4,0.75,0.125,0.15,0.25,0.125,0.1667,9.0,20.0,random_graph_8_8,316,8,8,6,6,3,5,6,10,1150.8173997402191,3188.5288500785828,True,v2,original_ranking,4,"[(1, 3), (0, 3), (3, 5), (7, 3)]",0.0119023323059082,2.87642765045166,1.430110138067992
8,0.875,0.125,0.35,0.125,0.125,0.125,13.0,29.0,random_graph_8_8,8266,8,8,6,6,3,5,6,10,1150.8173997402191,3033.254961490631,True,v2,original_ranking,8,"[(5, 7), (2, 7), (6, 3), (5, 3), (4, 5), (2, 5), (5, 0), (2, 3)]",0.021146774291992188,5.138165235519409,42.716630442444284
