nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
5,0.8,0.125,0.2,0.2,0.125,0.1538,10.0,25.0,25.0,asia,1532,8,8,6,6,3,5,6,12,728.4600486755371,5787.1327748298645,True,v2,original_ranking,5,"[(6, 1), (3, 1), (4, 1), (2, 1), (5, 1)]",0.0224115848541259,21.251779794693,-25.37470787272943
12,0.9167,0.125,0.55,0.0833,0.125,0.1,16.0,41.0,41.0,asia,1009,8,8,6,6,3,5,6,12,728.4600486755371,5676.93047785759,True,v2,original_ranking,12,"[(2, 3), (0, 3), (2, 4), (0, 4), (2, 1), (0, 1), (2, 6), (0, 6), (2, 5), (0, 5), (2, 7), (0, 7)]",0.0219795703887939,22.04595875740052,68.68189899941343
12,0.8333,0.25,0.5,0.1667,0.25,0.2,15.0,18.0,18.0,asia,2250,8,8,6,6,3,5,6,12,728.4600486755371,5775.908371925354,True,v2,original_ranking,12,"[(6, 1), (4, 1), (6, 7), (4, 7), (5, 7), (2, 1), (5, 1), (0, 7), (0, 1), (2, 7), (3, 7), (3, 1)]",0.024637222290039,23.4266049861908,17.117755155088734
8,0.625,0.375,0.25,0.375,0.375,0.375,10.0,16.0,18.0,asia,4447,8,8,6,6,3,5,6,12,728.4600486755371,5825.958214998245,True,v2,original_ranking,8,"[(5, 7), (1, 7), (4, 7), (6, 7), (6, 3), (4, 3), (7, 3), (2, 7)]",0.0272703170776367,26.658283948898315,44.40882092879515
5,0.8,0.125,0.2,0.2,0.125,0.1538,11.0,23.0,23.0,asia,2415,8,8,6,6,3,5,6,12,728.4600486755371,5809.8489236831665,True,v2,original_ranking,5,"[(6, 2), (4, 2), (3, 2), (7, 2), (5, 2)]",0.021842002868652344,21.479975938796997,-4.77817235667565
