nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
10,1.0,0.0,0.2632,0.0,0.0,,27.0,53.0,sachs,1428,11,17,7,7,4,6,0,12,155.73165583610535,1858.1193478107448,True,v2,original_ranking,10,"[(5, 8), (5, 10), (9, 10), (3, 5), (6, 7), (6, 8), (2, 6), (0, 6), (1, 6), (8, 9)]",0.0765225887298584,63.0143301486969,59.262298688481394
6,1.0,0.0,0.1579,0.0,0.0,,23.0,53.0,sachs,8328,11,17,7,7,4,6,0,12,155.73165583610535,1870.906119823456,True,v2,original_ranking,6,"[(5, 8), (0, 5), (5, 7), (5, 10), (3, 5), (1, 5)]",0.0841743946075439,65.36046719551086,104.0681686492363
8,1.0,0.0,0.2105,0.0,0.0,,25.0,53.0,sachs,8289,11,17,7,7,4,6,0,12,155.73165583610535,1869.0486869812007,True,v2,original_ranking,8,"[(4, 5), (2, 9), (5, 10), (1, 5), (3, 5), (9, 10), (5, 8), (5, 7)]",0.067380666732788,56.53859853744507,106.115167541852
12,1.0,0.0,0.3158,0.0,0.0,,29.0,53.0,sachs,5978,11,17,7,7,4,6,0,12,155.73165583610535,1866.2217972278595,True,v2,original_ranking,12,"[(5, 7), (9, 10), (6, 7), (0, 9), (0, 6), (3, 6), (1, 5), (1, 9), (5, 8), (4, 9), (2, 6), (5, 10)]",0.0688033103942871,58.8523063659668,81.784262665639
9,1.0,0.0,0.2368,0.0,0.0,,26.0,53.0,sachs,5511,11,17,7,7,4,6,0,12,155.73165583610535,1853.9470565319061,True,v2,original_ranking,9,"[(6, 8), (6, 7), (1, 9), (5, 7), (2, 6), (3, 6), (4, 5), (9, 10), (7, 9)]",0.08058857917785645,65.26379752159119,9.890863011478915
