nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
11,1.0,0.0,0.0667,0.0,0.0,,36.0,333.0,353.0,child,183,20,25,5,5,2,4,0,12,115.01575231552124,1448.2606270313263,True,v2,original_ranking,11,"[(0, 14), (1, 14), (3, 6), (1, 3), (3, 4), (0, 11), (8, 11), (9, 11), (4, 16), (0, 19), (12, 19)]",4.312683343887329,942.2923054695128,-2576.4237221547305
8,1.0,0.0,0.0485,0.0,0.0,,33.0,323.0,345.0,child,7977,20,25,5,5,2,4,0,12,115.01575231552124,1459.338544845581,True,v2,original_ranking,8,"[(1, 3), (1, 9), (2, 14), (11, 18), (2, 11), (14, 16), (2, 4), (8, 14)]",2.9280450344085693,741.1889715194702,-2020.303162713025
10,0.9,0.04,0.0545,0.1,0.04,0.0571,33.0,313.0,351.0,child,3199,20,25,5,5,2,4,0,12,115.01575231552124,1453.6481099128723,True,v2,original_ranking,10,"[(3, 6), (7, 19), (2, 6), (5, 7), (1, 8), (6, 9), (7, 17), (2, 17), (1, 2), (6, 16)]",4.739500522613525,1021.2526066303252,-2243.018019845992
7,1.0,0.0,0.0424,0.0,0.0,,32.0,318.0,339.0,child,316,20,25,5,5,2,4,0,12,115.01575231552124,1450.251318216324,True,v2,original_ranking,7,"[(4, 16), (2, 11), (2, 4), (6, 8), (14, 18), (3, 4), (8, 14)]",5.37425971031189,1049.5295922756195,-2063.7850832512813
8,1.0,0.0,0.0485,0.0,0.0,,33.0,338.0,358.0,child,8266,20,25,5,5,2,4,0,12,115.01575231552124,1453.3664717674255,True,v2,original_ranking,8,"[(4, 9), (1, 3), (11, 18), (9, 17), (13, 17), (3, 6), (15, 18), (1, 11)]",2.9654388427734375,771.1241917610168,-2248.0086171889207
