nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
9,1.0,0.0,0.2368,0.0,0.0,,26.0,53.0,sachs,7816,11,17,7,7,4,6,0,12,161.71013236045837,1978.6008903980253,True,v2,original_ranking,9,"[(1, 5), (6, 8), (7, 9), (2, 5), (3, 6), (6, 7), (5, 8), (0, 5), (1, 9)]",0.0714681148529052,58.54732155799866,-15.81200707588886
7,0.8571,0.0588,0.1579,0.1429,0.0588,0.0833,22.0,51.0,sachs,3578,11,17,7,7,4,6,0,12,161.71013236045837,2032.2360565662384,True,v2,original_ranking,7,"[(0, 5), (3, 5), (5, 7), (1, 5), (8, 10), (3, 4), (3, 9)]",0.0771763324737548,61.99602866172791,-38.108161180141664
9,0.8889,0.0588,0.2105,0.1111,0.0588,0.0769,23.0,58.0,sachs,2656,11,17,7,7,4,6,0,12,161.71013236045837,1991.7138235569,True,v2,original_ranking,9,"[(4, 6), (5, 7), (4, 8), (6, 10), (1, 5), (6, 7), (8, 10), (3, 4), (5, 8)]",0.0747742652893066,60.00979733467102,43.6344032184775
9,1.0,0.0,0.2368,0.0,0.0,,26.0,52.0,sachs,2688,11,17,7,7,4,6,0,12,161.71013236045837,1940.234989643097,True,v2,original_ranking,9,"[(3, 6), (2, 4), (5, 8), (5, 10), (2, 6), (4, 5), (2, 9), (6, 7), (1, 5)]",0.0864052772521972,65.54871940612793,-34.66548105486584
9,1.0,0.0,0.2368,0.0,0.0,,26.0,53.0,sachs,2494,11,17,7,7,4,6,0,12,161.71013236045837,1944.436800479889,True,v2,original_ranking,9,"[(2, 6), (5, 7), (2, 5), (6, 8), (4, 6), (1, 5), (0, 5), (4, 9), (5, 10)]",0.07685995101928711,58.03357768058777,-5.783515526057051
