nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
10,0.9,0.125,0.45,0.1,0.125,0.1111,14.0,31.0,31.0,asia,5163,8,8,6,6,3,5,6,12,771.1562917232513,6590.569577455521,True,v2,original_ranking,10,"[(6, 3), (2, 3), (6, 1), (2, 1), (6, 7), (2, 7), (6, 5), (2, 5), (6, 4), (2, 4)]",0.0228910446166992,21.98281717300415,66.93973562518194
7,1.0,0.0,0.35,0.0,0.0,,14.0,31.0,31.0,asia,2406,8,8,6,6,3,5,6,12,771.1562917232513,6443.332112789154,True,v2,original_ranking,7,"[(6, 5), (3, 5), (7, 5), (1, 5), (6, 4), (1, 4), (7, 2)]",0.022148847579956,20.92498469352722,-10.743948538909535
10,0.8,0.25,0.4,0.2,0.25,0.2222,14.0,17.0,17.0,asia,304,8,8,6,6,3,5,6,12,771.1562917232513,6334.006836652756,True,v2,original_ranking,10,"[(6, 2), (4, 2), (3, 2), (5, 2), (1, 2), (4, 7), (1, 7), (0, 7), (6, 7), (5, 7)]",0.0291650295257568,27.518637657165527,43.20345912268974
7,0.8571,0.125,0.3,0.1429,0.125,0.1333,10.0,26.0,26.0,asia,3391,8,8,6,6,3,5,6,12,771.1562917232513,6409.820466041565,True,v2,original_ranking,7,"[(7, 3), (6, 3), (2, 3), (7, 1), (4, 1), (2, 1), (6, 1)]",0.0231626033782959,24.129626035690308,3.027266287779171
6,0.6667,0.25,0.2,0.3333,0.25,0.2857,8.0,25.0,25.0,asia,359,8,8,6,6,3,5,6,12,771.1562917232513,6319.3540370464325,True,v2,original_ranking,6,"[(7, 3), (6, 3), (1, 3), (4, 3), (2, 3), (5, 3)]",0.023905038833618164,23.427608966827393,-4.125880084287449
