nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,150,5,0.11648988723754883,0.9907200336456299,True,v2,original_ranking,4,"[(3, 0), (2, 0), (4, 0), (1, 0)]",0,1.381312370300293,21.040892555850142
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,8823,5,0.11648988723754883,0.9793896675109863,True,v2,original_ranking,4,"[(3, 0), (2, 0), (1, 0), (4, 0)]",0,1.3677208423614502,20.414986354565528
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,4669,5,0.11648988723754883,0.9920330047607422,True,v2,original_ranking,4,"[(3, 0), (1, 0), (4, 0), (2, 0)]",0,1.3655707836151123,20.465176024216788
4,0.75,0.25,0.5,0.25,0.25,0.25,4.0,10.0,10.0,cancer,6131,5,0.11648988723754883,0.986018180847168,True,v2,original_ranking,4,"[(4, 0), (3, 0), (1, 0), (1, 4)]",0,0.815422534942627,12.25716889222427
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,2617,5,0.11648988723754883,0.9883124828338623,True,v2,original_ranking,4,"[(4, 0), (1, 0), (2, 0), (3, 0)]",0,1.3577549457550049,21.596828295785315
5,0.6,0.5,0.5,0.4,0.5,0.4444,3.0,9.0,14.0,cancer,7166,5,0.11648988723754883,0.9771385192871094,True,v2,original_ranking,5,"[(2, 0), (1, 0), (4, 0), (4, 3), (3, 0)]",0,1.1505343914031982,24.405099098961497
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,1428,5,0.11648988723754883,0.9885866641998291,True,v2,original_ranking,4,"[(4, 0), (3, 0), (2, 0), (1, 0)]",0,1.3628575801849365,19.963030462116233
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,8328,5,0.11648988723754883,0.988699197769165,True,v2,original_ranking,4,"[(4, 0), (2, 0), (1, 0), (3, 0)]",0,1.3714544773101807,20.43563908118745
5,0.6,0.5,0.5,0.4,0.5,0.4444,3.0,9.0,14.0,cancer,8289,5,0.11648988723754883,0.991276741027832,True,v2,original_ranking,5,"[(2, 0), (1, 0), (4, 0), (3, 0), (3, 4)]",0,1.372248649597168,20.59971183013817
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,11.0,cancer,5978,5,0.11648988723754883,0.9789130687713623,True,v2,original_ranking,3,"[(4, 0), (3, 0), (1, 0)]",0,0.8313276767730713,13.01106799870293
4,0.5,0.5,0.3333,0.25,0.25,0.25,3.0,10.0,15.0,cancer,5511,5,0.11648988723754883,0.9847290515899658,True,v2,original_ranking,4,"[(4, 0), (1, 0), (2, 0), (0, 3)]",0,1.333906650543213,19.722484676172638
4,0.5,0.5,0.3333,0.25,0.25,0.25,3.0,10.0,15.0,cancer,5864,5,0.11648988723754883,0.9804251194000244,True,v2,original_ranking,4,"[(4, 0), (3, 0), (1, 0), (0, 2)]",0,1.3425090312957764,19.615372288710773
