nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
4,1.0,0.0,0.1053,0.0,0.0,,21.0,53.0,sachs,3595,11,17,7,7,4,6,0,12,162.03962087631226,1951.5192189216607,True,v2,original_ranking,4,"[(6, 8), (1, 6), (6, 7), (0, 6)]",0.0726163387298584,58.6304395198822,-53.033631920161206
9,1.0,0.0,0.2368,0.0,0.0,,26.0,53.0,sachs,4187,11,17,7,7,4,6,0,12,162.03962087631226,1952.5904817581177,True,v2,original_ranking,9,"[(0, 5), (6, 8), (6, 7), (2, 5), (5, 7), (5, 10), (4, 6), (3, 5), (3, 6)]",0.0700659751892089,58.04266405105591,30.319356881281465
12,1.0,0.0,0.3158,0.0,0.0,,29.0,53.0,sachs,4135,11,17,7,7,4,6,0,12,162.03962087631226,1951.388622045517,True,v2,original_ranking,12,"[(5, 10), (0, 5), (3, 9), (9, 10), (5, 7), (1, 9), (1, 5), (2, 6), (6, 7), (4, 9), (6, 10), (8, 9)]",0.0947902202606201,72.76911044120789,39.12016782790306
9,1.0,0.0,0.2368,0.0,0.0,,26.0,53.0,sachs,5174,11,17,7,7,4,6,0,12,162.03962087631226,1999.06227517128,True,v2,original_ranking,9,"[(4, 6), (5, 8), (4, 5), (5, 7), (1, 5), (3, 5), (3, 6), (2, 6), (6, 10)]",0.0621271133422851,53.69457721710205,79.13882674571371
8,1.0,0.0,0.2105,0.0,0.0,,25.0,53.0,sachs,5303,11,17,7,7,4,6,0,12,162.03962087631226,1978.532644033432,True,v2,original_ranking,8,"[(5, 7), (0, 5), (6, 8), (4, 5), (0, 9), (3, 6), (3, 5), (0, 6)]",0.0729827880859375,61.03538393974304,-25.087027653467963
