nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
7,0.8571,0.04,0.0364,0.1429,0.04,0.0625,30.0,322.0,child,7816,20,25,5,5,2,4,0,12,120.69046998023988,1493.55287027359,True,v2,original_ranking,7,"[(1, 6), (9, 14), (9, 11), (8, 14), (6, 8), (1, 18), (9, 12)]",3.207019329071045,776.1848247051239,-1923.7722134287903
10,0.9,0.04,0.0545,0.1,0.04,0.0571,33.0,311.0,child,3578,20,25,5,5,2,4,0,12,120.69046998023988,1505.26859998703,True,v2,original_ranking,10,"[(9, 17), (2, 11), (6, 16), (17, 18), (5, 13), (5, 7), (8, 17), (1, 5), (6, 8), (2, 6)]",3.814918279647827,897.4079163074493,-1444.0977469013778
10,1.0,0.0,0.0606,0.0,0.0,,35.0,325.0,child,2656,20,25,5,5,2,4,0,12,120.69046998023988,1498.114173412323,True,v2,original_ranking,10,"[(1, 19), (1, 8), (3, 4), (7, 19), (1, 3), (0, 3), (3, 11), (5, 7), (1, 17), (1, 2)]",4.594107627868652,985.1377465724944,-2132.615219964985
8,1.0,0.0,0.0485,0.0,0.0,,33.0,339.0,child,2688,20,25,5,5,2,4,0,12,120.69046998023988,1551.4955260753632,True,v2,original_ranking,8,"[(9, 14), (14, 18), (1, 19), (3, 6), (4, 9), (3, 11), (1, 2), (14, 19)]",3.953900814056397,864.2890384197235,-1785.5973763327331
9,1.0,0.0,0.0545,0.0,0.0,,34.0,338.0,child,2494,20,25,5,5,2,4,0,12,120.69046998023987,1816.5225324630737,True,v2,original_ranking,9,"[(0, 14), (3, 6), (3, 17), (4, 18), (4, 9), (9, 14), (0, 5), (3, 11), (4, 8)]",3.8729846477508545,896.1205706596375,-2168.4034219717864
