nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
7,1.0,0.0,0.1842,0.0,0.0,,24.0,53.0,53.0,sachs,1532,11,17,7,7,4,6,0,12,155.17464470863342,1831.8486099243164,True,v2,original_ranking,7,"[(4, 5), (6, 7), (3, 6), (2, 9), (2, 5), (5, 7), (6, 10)]",0.0675647258758544,54.703075647354126,-4.715939350896517
10,1.0,0.0,0.2632,0.0,0.0,,27.0,52.0,52.0,sachs,1009,11,17,7,7,4,6,0,12,155.17464470863342,1837.0620231628416,True,v2,original_ranking,10,"[(1, 5), (2, 5), (5, 8), (6, 7), (9, 10), (8, 9), (3, 4), (6, 8), (3, 6), (5, 10)]",0.0834600925445556,68.96152114868164,27.73127515924856
12,1.0,0.0,0.3158,0.0,0.0,,29.0,53.0,53.0,sachs,2250,11,17,7,7,4,6,0,12,155.17464470863342,1841.5304861068728,True,v2,original_ranking,12,"[(6, 10), (9, 10), (0, 6), (0, 9), (1, 6), (5, 7), (4, 5), (5, 8), (0, 5), (2, 9), (3, 6), (4, 6)]",0.0713145732879638,58.56366181373596,12.330158084769948
11,1.0,0.0,0.2895,0.0,0.0,,28.0,53.0,53.0,sachs,4447,11,17,7,7,4,6,0,12,155.17464470863342,1831.3259632587435,True,v2,original_ranking,11,"[(9, 10), (2, 5), (4, 9), (0, 6), (4, 5), (6, 8), (1, 9), (0, 9), (5, 8), (5, 7), (1, 5)]",0.0905656814575195,67.75452089309692,7.751806510610372
9,1.0,0.0,0.2368,0.0,0.0,,26.0,53.0,53.0,sachs,2415,11,17,7,7,4,6,0,12,155.17464470863342,1839.179618358612,True,v2,original_ranking,9,"[(5, 7), (1, 6), (2, 6), (0, 6), (4, 5), (9, 10), (0, 5), (6, 7), (7, 9)]",0.08916497230529785,71.08077788352966,-8.553224718142783
