nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
3,1.0,0.0,0.0176,0.0,0.0,,23.0,167.0,167.0,random_graph_20_20,7816,20,20,5,5,2,4,0,10,158.72653365135193,758.0501658916473,False,v2,original_ranking,3,"[(1, 2), (2, 3), (2, 15)]",0.1770150661468505,31.72528600692749,-19.846511732724466
6,1.0,0.0,0.0353,0.0,0.0,,26.0,128.0,144.0,random_graph_20_20,3578,20,20,5,5,2,4,0,10,158.72653365135193,763.4925377368927,False,v2,original_ranking,6,"[(1, 3), (2, 12), (2, 3), (3, 18), (3, 9), (1, 4)]",0.2575292587280273,47.03746747970581,-5.261499540775411
3,1.0,0.0,0.0176,0.0,0.0,,23.0,159.0,159.0,random_graph_20_20,2656,20,20,5,5,2,4,0,10,158.72653365135193,761.0364124774933,False,v2,original_ranking,3,"[(3, 18), (3, 12), (3, 17)]",0.3594443798065185,53.72767114639282,-282.62482523840504
2,1.0,0.0,0.0118,0.0,0.0,,22.0,95.0,95.0,random_graph_20_20,2688,20,20,5,5,2,4,0,10,158.72653365135193,760.4286556243896,True,v2,original_ranking,2,"[(2, 18), (2, 5)]",0.1871304512023925,33.77471613883972,-76.13324948086304
2,1.0,0.0,0.0118,0.0,0.0,,22.0,81.0,81.0,random_graph_20_20,2494,20,20,5,5,2,4,0,10,158.72653365135193,770.6505019664764,True,v2,original_ranking,2,"[(5, 17), (4, 5)]",0.0943589210510253,20.46635746955872,99.6258988462636
3,1.0,0.0,0.0176,0.0,0.0,,23.0,159.0,159.0,random_graph_20_20,183,20,20,5,5,2,4,0,10,158.72653365135193,762.7261881828308,False,v2,original_ranking,3,"[(1, 7), (4, 7), (7, 11)]",0.1628799438476562,30.58859610557556,15.655126177417534
3,1.0,0.0,0.0176,0.0,0.0,,23.0,83.0,83.0,random_graph_20_20,7977,20,20,5,5,2,4,0,10,158.72653365135193,763.779943227768,False,v2,original_ranking,3,"[(1, 6), (1, 15), (1, 4)]",0.1173064708709716,24.18206524848938,43.49067680937489
2,1.0,0.0,0.0118,0.0,0.0,,22.0,108.0,108.0,random_graph_20_20,3199,20,20,5,5,2,4,0,10,158.72653365135193,762.4565649032593,False,v2,original_ranking,2,"[(13, 14), (8, 13)]",0.1533730030059814,30.160223245620728,108.36380741858564
0,0.0,0.0,0.0,,0.0,,20.0,134.0,134.0,random_graph_20_20,316,20,20,5,5,2,4,0,10,158.72653365135193,768.1096341609955,False,v2,original_ranking,0,[],0.1282265186309814,23.72465825080872,-119.7632917983374
2,1.0,0.0,0.0118,0.0,0.0,,22.0,150.0,165.0,random_graph_20_20,8266,20,20,5,5,2,4,0,10,158.72653365135193,759.063987493515,False,v2,original_ranking,2,"[(6, 14), (6, 15)]",0.07917237281799316,16.644418716430664,60.82462656634384
