nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,aba_elapsed,ranking_elapsed,num_edges_est,best_model,best_I
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,2656,5,12.333260297775269,0.9086053371429443,True,refined_indep_facts,original,0.02218461036682129,0.013495445251464844,1,"frozenset({(3, 0)})",3.779869565100819
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,2656,5,12.333260297775269,0.9086053371429443,True,refined_indep_facts,refined_indep_facts,0.02218461036682129,0.011855840682983398,1,"frozenset({(3, 0)})",3.8849348755344106
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,2656,5,12.333260297775269,0.9086053371429443,True,refined_indep_facts,arrows_sum,0.02218461036682129,0.007682085037231445,1,"frozenset({(3, 0)})",0.5148778647413126
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,2656,5,12.333260297775269,0.9086053371429443,True,refined_indep_facts,arrows_mean,0.02218461036682129,0.007603883743286133,1,"frozenset({(3, 0)})",0.5148778647413126
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,2688,5,12.333260297775269,0.9135792255401611,True,original,original,0.5543208122253418,0.025460243225097656,4,"frozenset({(1, 0), (4, 0), (2, 0), (3, 0)})",20.660267111275942
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,2688,5,12.333260297775269,0.9135792255401611,True,original,refined_indep_facts,0.5543208122253418,0.015917539596557617,4,"frozenset({(1, 0), (4, 0), (2, 0), (3, 0)})",2.5027355456986946
6,0.6667,0.5,0.6667,0.3333,0.5,0.4,4.0,8.0,cancer,2688,5,12.333260297775269,0.9135792255401611,True,original,arrows_sum,0.5543208122253418,0.009370803833007812,6,"frozenset({(4, 0), (3, 4), (2, 0), (1, 4), (3, 0), (1, 0)})",3.0721137858211014
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,2688,5,12.333260297775269,0.9135792255401611,True,original,arrows_mean,0.5543208122253418,0.009626150131225586,4,"frozenset({(1, 0), (4, 0), (2, 0), (3, 0)})",0.5173456529001679
1,1.0,0.0,0.1667,0.0,0.0,,4.0,11.0,cancer,2688,5,12.333260297775269,0.9135792255401611,True,refined_indep_facts,original,0.022877931594848633,0.02334427833557129,1,"frozenset({(4, 0)})",-1.2242882543419336
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,2688,5,12.333260297775269,0.9135792255401611,True,refined_indep_facts,refined_indep_facts,0.022877931594848633,0.016125202178955078,1,"frozenset({(3, 0)})",4.803850760311979
1,1.0,0.0,0.1667,0.0,0.0,,4.0,11.0,cancer,2688,5,12.333260297775269,0.9135792255401611,True,refined_indep_facts,arrows_sum,0.022877931594848633,0.009389162063598633,1,"frozenset({(1, 0)})",0.5173585491930961
1,1.0,0.0,0.1667,0.0,0.0,,4.0,11.0,cancer,2688,5,12.333260297775269,0.9135792255401611,True,refined_indep_facts,arrows_mean,0.022877931594848633,0.00953817367553711,1,"frozenset({(1, 0)})",0.5173585491930961
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,2494,5,12.333260297775269,0.9213504791259766,True,original,original,0.6057264804840088,0.08982157707214355,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",21.03855615470341
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,2494,5,12.333260297775269,0.9213504791259766,True,original,refined_indep_facts,0.6057264804840088,0.06367802619934082,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",2.451674849668801
7,0.7143,0.5,0.8333,0.2857,0.5,0.3636,5.0,7.0,cancer,2494,5,12.333260297775269,0.9213504791259766,True,original,arrows_sum,0.6057264804840088,0.0375666618347168,7,"frozenset({(2, 4), (4, 0), (3, 4), (2, 0), (1, 4), (3, 0), (1, 0)})",3.6131188614933065
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,2494,5,12.333260297775269,0.9213504791259766,True,original,arrows_mean,0.6057264804840088,0.036904096603393555,4,"frozenset({(1, 0), (4, 0), (2, 0), (3, 0)})",0.5170283841856034
1,1.0,0.0,0.1667,0.0,0.0,,4.0,11.0,cancer,2494,5,12.333260297775269,0.9213504791259766,True,refined_indep_facts,original,0.022600889205932617,0.021900653839111328,1,"frozenset({(4, 0)})",-1.9953394480290942
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,2494,5,12.333260297775269,0.9213504791259766,True,refined_indep_facts,refined_indep_facts,0.022600889205932617,0.01565265655517578,1,"frozenset({(3, 0)})",4.492110927034538
1,1.0,0.0,0.1667,0.0,0.0,,4.0,11.0,cancer,2494,5,12.333260297775269,0.9213504791259766,True,refined_indep_facts,arrows_sum,0.022600889205932617,0.010000944137573242,1,"frozenset({(1, 0)})",0.5170404067634489
1,1.0,0.0,0.1667,0.0,0.0,,4.0,11.0,cancer,2494,5,12.333260297775269,0.9213504791259766,True,refined_indep_facts,arrows_mean,0.022600889205932617,0.009276151657104492,1,"frozenset({(1, 0)})",0.5170404067634489
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,cancer,183,5,12.333260297775269,0.915931224822998,True,original,original,0.2523472309112549,0.006350278854370117,3,"frozenset({(1, 0), (4, 0), (3, 0)})",12.473888911317365
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,cancer,183,5,12.333260297775269,0.915931224822998,True,original,refined_indep_facts,0.2523472309112549,0.005112409591674805,3,"frozenset({(1, 0), (4, 0), (3, 0)})",2.6762952101317192
4,0.75,0.25,0.5,0.25,0.25,0.25,4.0,15.0,cancer,183,5,12.333260297775269,0.915931224822998,True,original,arrows_sum,0.2523472309112549,0.003309965133666992,4,"frozenset({(1, 0), (4, 0), (1, 3), (3, 0)})",2.004886781241558
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,cancer,183,5,12.333260297775269,0.915931224822998,True,original,arrows_mean,0.2523472309112549,0.0033097267150878906,3,"frozenset({(1, 0), (4, 0), (3, 0)})",0.5013613278681638
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,183,5,12.333260297775269,0.915931224822998,True,refined_indep_facts,original,0.022600173950195312,0.0144500732421875,1,"frozenset({(3, 0)})",3.3163089525239293
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,183,5,12.333260297775269,0.915931224822998,True,refined_indep_facts,refined_indep_facts,0.022600173950195312,0.012103557586669922,1,"frozenset({(3, 0)})",3.676835277616317
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,183,5,12.333260297775269,0.915931224822998,True,refined_indep_facts,arrows_sum,0.022600173950195312,0.007589578628540039,1,"frozenset({(3, 0)})",0.5013846082264591
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,183,5,12.333260297775269,0.915931224822998,True,refined_indep_facts,arrows_mean,0.022600173950195312,0.007506847381591797,1,"frozenset({(3, 0)})",0.5013846082264591
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,7977,5,12.333260297775269,0.9085946083068848,True,original,original,0.5935487747192383,0.20868587493896484,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",21.531151773659246
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,7977,5,12.333260297775269,0.9085946083068848,True,original,refined_indep_facts,0.5935487747192383,0.14597487449645996,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",2.027709136385836
8,0.75,0.5,1.0,0.25,0.5,0.3333,6.0,11.0,cancer,7977,5,12.333260297775269,0.9085946083068848,True,original,arrows_sum,0.5935487747192383,0.08542609214782715,8,"frozenset({(2, 4), (4, 0), (1, 2), (3, 4), (2, 0), (1, 4), (3, 0), (1, 0)})",4.054740383875499
5,0.6,0.5,0.5,0.4,0.5,0.4444,3.0,9.0,cancer,7977,5,12.333260297775269,0.9085946083068848,True,original,arrows_mean,0.5935487747192383,0.08543610572814941,5,"frozenset({(4, 0), (3, 4), (2, 0), (3, 0), (1, 0)})",0.5108090490652314
2,1.0,0.0,0.3333,0.0,0.0,,4.0,15.0,cancer,7977,5,12.333260297775269,0.9085946083068848,True,refined_indep_facts,original,0.022990942001342773,0.029278278350830078,2,"frozenset({(4, 0), (0, 3)})",7.036989713003441
2,1.0,0.0,0.3333,0.0,0.0,,4.0,15.0,cancer,7977,5,12.333260297775269,0.9085946083068848,True,refined_indep_facts,refined_indep_facts,0.022990942001342773,0.020333051681518555,2,"frozenset({(4, 0), (0, 3)})",3.6791134335753846
2,1.0,0.0,0.3333,0.0,0.0,,4.0,15.0,cancer,7977,5,12.333260297775269,0.9085946083068848,True,refined_indep_facts,arrows_sum,0.022990942001342773,0.012646675109863281,2,"frozenset({(4, 0), (0, 3)})",1.0
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,7977,5,12.333260297775269,0.9085946083068848,True,refined_indep_facts,arrows_mean,0.022990942001342773,0.012880086898803711,1,"frozenset({(2, 0)})",0.513431821774486
3,1.0,0.0,0.5,0.0,0.0,,4.0,16.0,cancer,3199,5,12.333260297775269,0.9177944660186768,True,original,original,0.3192873001098633,0.001458883285522461,3,"frozenset({(1, 0), (4, 0), (0, 3)})",12.410144358776307
3,1.0,0.0,0.5,0.0,0.0,,4.0,16.0,cancer,3199,5,12.333260297775269,0.9177944660186768,True,original,refined_indep_facts,0.3192873001098633,0.0018346309661865234,3,"frozenset({(1, 0), (4, 0), (0, 3)})",2.760423400956207
3,1.0,0.0,0.5,0.0,0.0,,4.0,16.0,cancer,3199,5,12.333260297775269,0.9177944660186768,True,original,arrows_sum,0.3192873001098633,0.001194000244140625,3,"frozenset({(1, 0), (4, 0), (0, 3)})",1.5234812709673058
3,1.0,0.0,0.5,0.0,0.0,,4.0,16.0,cancer,3199,5,12.333260297775269,0.9177944660186768,True,original,arrows_mean,0.3192873001098633,0.0011589527130126953,3,"frozenset({(1, 0), (4, 0), (0, 3)})",0.5078270903224352
1,1.0,0.0,0.1667,0.0,0.0,,4.0,11.0,cancer,3199,5,12.333260297775269,0.9177944660186768,True,refined_indep_facts,original,0.022727251052856445,0.013891458511352539,1,"frozenset({(4, 0)})",3.6431158847494465
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,3199,5,12.333260297775269,0.9177944660186768,True,refined_indep_facts,refined_indep_facts,0.022727251052856445,0.011815309524536133,1,"frozenset({(3, 0)})",3.7785058044053934
1,1.0,0.0,0.1667,0.0,0.0,,4.0,11.0,cancer,3199,5,12.333260297775269,0.9177944660186768,True,refined_indep_facts,arrows_sum,0.022727251052856445,0.0073773860931396484,1,"frozenset({(4, 0)})",0.5234803277098599
1,1.0,0.0,0.1667,0.0,0.0,,4.0,11.0,cancer,3199,5,12.333260297775269,0.9177944660186768,True,refined_indep_facts,arrows_mean,0.022727251052856445,0.007363557815551758,1,"frozenset({(4, 0)})",0.5234803277098599
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,316,5,12.333260297775269,0.9190871715545654,True,original,original,0.6492879390716553,0.06556177139282227,4,"frozenset({(1, 0), (4, 0), (2, 0), (3, 0)})",20.602028429515425
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,316,5,12.333260297775269,0.9190871715545654,True,original,refined_indep_facts,0.6492879390716553,0.045038461685180664,4,"frozenset({(1, 0), (4, 0), (2, 0), (3, 0)})",2.241348711139166
6,0.6667,0.5,0.6667,0.3333,0.5,0.4,4.0,8.0,cancer,316,5,12.333260297775269,0.9190871715545654,True,original,arrows_sum,0.6492879390716553,0.025690317153930664,6,"frozenset({(2, 4), (4, 0), (3, 1), (2, 0), (3, 0), (1, 0)})",3.0738288242727196
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,316,5,12.333260297775269,0.9190871715545654,True,original,arrows_mean,0.6492879390716553,0.026901721954345703,4,"frozenset({(1, 0), (4, 0), (2, 0), (3, 0)})",0.5172803515738561
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,316,5,12.333260297775269,0.9190871715545654,True,refined_indep_facts,original,0.02263355255126953,0.02293872833251953,1,"frozenset({(3, 0)})",-2.450064707036298
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,316,5,12.333260297775269,0.9190871715545654,True,refined_indep_facts,refined_indep_facts,0.02263355255126953,0.01550602912902832,1,"frozenset({(3, 0)})",4.235751548270102
1,1.0,0.0,0.1667,0.0,0.0,,4.0,11.0,cancer,316,5,12.333260297775269,0.9190871715545654,True,refined_indep_facts,arrows_sum,0.02263355255126953,0.009326457977294922,1,"frozenset({(4, 0)})",0.5172847898716386
1,1.0,0.0,0.1667,0.0,0.0,,4.0,11.0,cancer,316,5,12.333260297775269,0.9190871715545654,True,refined_indep_facts,arrows_mean,0.02263355255126953,0.009534120559692383,1,"frozenset({(4, 0)})",0.5172847898716386
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,8266,5,12.333260297775269,0.9094343185424805,True,original,original,0.7775509357452393,0.08780241012573242,4,"frozenset({(1, 0), (4, 0), (2, 0), (3, 0)})",20.683273840009477
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,8266,5,12.333260297775269,0.9094343185424805,True,original,refined_indep_facts,0.7775509357452393,0.06024456024169922,4,"frozenset({(1, 0), (4, 0), (2, 0), (3, 0)})",2.1595284661391587
6,0.6667,0.5,0.6667,0.3333,0.5,0.4,4.0,8.0,cancer,8266,5,12.333260297775269,0.9094343185424805,True,original,arrows_sum,0.7775509357452393,0.036425113677978516,6,"frozenset({(4, 0), (3, 1), (2, 0), (3, 0), (1, 0), (4, 1)})",3.069760645795365
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,8266,5,12.333260297775269,0.9094343185424805,True,original,arrows_mean,0.7775509357452393,0.03551506996154785,4,"frozenset({(1, 0), (4, 0), (2, 0), (3, 0)})",0.5169679783359327
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,8266,5,12.333260297775269,0.9094343185424805,True,refined_indep_facts,original,0.022850990295410156,0.022713661193847656,1,"frozenset({(3, 0)})",-2.9151734100219273
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,8266,5,12.333260297775269,0.9094343185424805,True,refined_indep_facts,refined_indep_facts,0.022850990295410156,0.016376495361328125,1,"frozenset({(3, 0)})",4.21947285365637
1,1.0,0.0,0.1667,0.0,0.0,,4.0,11.0,cancer,8266,5,12.333260297775269,0.9094343185424805,True,refined_indep_facts,arrows_sum,0.022850990295410156,0.009986639022827148,1,"frozenset({(4, 0)})",0.5169750229924246
1,1.0,0.0,0.1667,0.0,0.0,,4.0,11.0,cancer,8266,5,12.333260297775269,0.9094343185424805,True,refined_indep_facts,arrows_mean,0.022850990295410156,0.009264945983886719,1,"frozenset({(4, 0)})",0.5169750229924246
3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,2.0,6.0,cancer,1532,5,12.333260297775269,0.9106974601745605,True,original,original,0.4143228530883789,0.019101858139038086,3,"frozenset({(1, 0), (0, 4), (3, 0)})",11.765436872922546
3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,2.0,6.0,cancer,1532,5,12.333260297775269,0.9106974601745605,True,original,refined_indep_facts,0.4143228530883789,0.015979766845703125,3,"frozenset({(1, 0), (0, 4), (3, 0)})",2.592298476832995
5,0.4,0.75,0.3333,0.6,0.75,0.6667,2.0,5.0,cancer,1532,5,12.333260297775269,0.9106974601745605,True,original,arrows_sum,0.4143228530883789,0.009771347045898438,5,"frozenset({(0, 4), (2, 0), (3, 0), (2, 3), (1, 0)})",2.5016436478199724
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,1532,5,12.333260297775269,0.9106974601745605,True,original,arrows_mean,0.4143228530883789,0.010001659393310547,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",0.5003802953464571
1,1.0,0.0,0.1667,0.0,0.0,,4.0,11.0,cancer,1532,5,12.333260297775269,0.9106974601745605,True,refined_indep_facts,original,0.022570133209228516,0.014199018478393555,1,"frozenset({(4, 0)})",3.167752278329086
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,cancer,1532,5,12.333260297775269,0.9106974601745605,True,refined_indep_facts,refined_indep_facts,0.022570133209228516,0.011915445327758789,1,"frozenset({(0, 1)})",3.6049067896027513
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,1532,5,12.333260297775269,0.9106974601745605,True,refined_indep_facts,arrows_sum,0.022570133209228516,0.0073032379150390625,1,"frozenset({(3, 0)})",0.5007947709525611
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,1532,5,12.333260297775269,0.9106974601745605,True,refined_indep_facts,arrows_mean,0.022570133209228516,0.007433414459228516,1,"frozenset({(3, 0)})",0.5007947709525611
4,0.75,0.25,0.5,0.25,0.25,0.25,3.0,15.0,cancer,1009,5,12.333260297775269,0.9225735664367676,True,original,original,0.5578737258911133,0.0030994415283203125,4,"frozenset({(1, 0), (4, 0), (2, 0), (0, 3)})",20.88336932567718
4,0.75,0.25,0.5,0.25,0.25,0.25,3.0,15.0,cancer,1009,5,12.333260297775269,0.9225735664367676,True,original,refined_indep_facts,0.5578737258911133,0.0020313262939453125,4,"frozenset({(1, 0), (4, 0), (2, 0), (0, 3)})",2.4227640710717075
