nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
11,1.0,0.0,0.0667,0.0,0.0,,36.0,314.0,354.0,child,1428,20,25,5,5,2,4,0,12,111.49332547187804,1414.255648136139,True,v2,original_ranking,11,"[(1, 5), (1, 3), (5, 12), (3, 6), (0, 14), (3, 15), (2, 14), (0, 3), (14, 16), (2, 10), (5, 14)]",3.6401445865631104,835.6536667346954,-1666.847248947397
10,1.0,0.0,0.0606,0.0,0.0,,35.0,322.0,345.0,child,8328,20,25,5,5,2,4,0,12,111.49332547187804,1413.1057991981506,True,v2,original_ranking,10,"[(7, 17), (14, 18), (1, 15), (2, 14), (12, 17), (3, 17), (3, 11), (13, 19), (5, 13), (1, 5)]",4.8784613609313965,934.6533627510072,-2368.9535730618963
12,0.9167,0.04,0.0667,0.0833,0.04,0.0541,36.0,312.0,333.0,child,8289,20,25,5,5,2,4,0,12,111.49332547187804,1412.5208203792572,True,v2,original_ranking,12,"[(9, 11), (6, 16), (4, 8), (1, 18), (0, 14), (1, 2), (2, 14), (8, 14), (8, 11), (4, 9), (9, 13), (14, 16)]",3.467580556869507,803.8447270393372,-1999.709058573988
12,1.0,0.0,0.0727,0.0,0.0,,37.0,328.0,349.0,child,5978,20,25,5,5,2,4,0,12,111.49332547187804,1411.8543846607208,True,v2,original_ranking,12,"[(1, 14), (2, 15), (1, 3), (13, 17), (17, 18), (3, 6), (14, 16), (6, 8), (2, 17), (4, 8), (2, 6), (2, 4)]",2.8618977069854736,725.6146204471588,-1823.714656610074
11,0.9091,0.04,0.0606,0.0909,0.04,0.0556,35.0,293.0,313.0,child,5511,20,25,5,5,2,4,0,12,111.49332547187805,1414.1150407791138,True,v2,original_ranking,11,"[(2, 17), (9, 11), (0, 14), (9, 17), (14, 18), (8, 11), (4, 16), (6, 8), (9, 14), (2, 6), (6, 16)]",4.86020565032959,919.648796081543,-1823.3421839178386
