nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
5,0.8,0.0909,0.0909,0.2,0.0909,0.125,14.0,33.0,33.0,random_graph_11_11,7816,11,11,5,5,2,4,1,10,498.74940609931946,1591.2859160900116,True,v2,original_ranking,5,"[(9, 0), (2, 0), (4, 2), (3, 5), (9, 5)]",0.0354037284851074,8.819948196411133,-20.03533003660432
9,0.8889,0.0909,0.1818,0.1111,0.0909,0.1,15.0,57.0,57.0,random_graph_11_11,3578,11,11,5,5,2,4,1,10,498.74940609931946,1576.8776519298551,True,v2,original_ranking,9,"[(0, 3), (10, 3), (9, 6), (2, 6), (6, 5), (0, 5), (8, 5), (1, 5), (7, 5)]",0.0337662696838378,8.174210786819458,26.13133816484844
3,1.0,0.0,0.0682,0.0,0.0,,13.0,48.0,48.0,random_graph_11_11,2656,11,11,5,5,2,4,1,10,498.74940609931946,1585.5409820079803,True,v2,original_ranking,3,"[(9, 2), (10, 2), (3, 9)]",0.0244450569152832,5.659319162368774,-4.62640076259723
6,0.8333,0.0909,0.1136,0.1667,0.0909,0.1176,15.0,53.0,54.0,random_graph_11_11,2688,11,11,5,5,2,4,1,10,498.74940609931946,1602.1974272727966,True,v2,original_ranking,6,"[(7, 8), (6, 8), (4, 8), (3, 8), (1, 8), (5, 0)]",0.0501058101654052,11.394667148590088,-79.62993388802361
0,0.0,0.0,0.0,,0.0,,11.0,51.0,51.0,random_graph_11_11,2494,11,11,5,5,2,4,1,10,498.74940609931946,1596.9377024173737,True,v2,original_ranking,0,[],0.0330193042755126,7.12910008430481,-11.989061733195816
5,0.6,0.1818,0.0682,0.4,0.1818,0.25,10.0,41.0,44.0,random_graph_11_11,183,11,11,5,5,2,4,1,10,498.74940609931946,1606.0904068946838,True,v2,original_ranking,5,"[(4, 2), (10, 2), (6, 0), (8, 0), (6, 9)]",0.0270411968231201,7.063967704772949,79.59062352185408
1,0.0,0.0909,0.0,1.0,0.0909,0.1667,10.0,32.0,39.0,random_graph_11_11,7977,11,11,5,5,2,4,1,10,498.74940609931946,1571.4521424770355,True,v2,original_ranking,1,"[(2, 10)]",0.0227935314178466,5.5935657024383545,36.728027668323925
3,0.6667,0.0909,0.0455,0.3333,0.0909,0.1429,12.0,20.0,25.0,random_graph_11_11,3199,11,11,5,5,2,4,1,10,498.74940609931946,1593.164880514145,True,v2,original_ranking,3,"[(1, 8), (7, 1), (10, 2)]",0.0223438739776611,4.824333667755127,8.918531068232722
2,0.5,0.0909,0.0227,0.5,0.0909,0.1538,11.0,39.0,39.0,random_graph_11_11,316,11,11,5,5,2,4,1,10,498.74940609931946,1621.9383137226105,True,v2,original_ranking,2,"[(7, 3), (5, 3)]",0.0508251190185546,11.053679704666138,13.029257636049572
5,0.8,0.0909,0.0909,0.0,0.0,,14.0,38.0,47.0,random_graph_11_11,8266,11,11,5,5,2,4,1,10,498.74940609931946,1584.4236798286438,True,v2,original_ranking,5,"[(3, 2), (9, 6), (8, 6), (6, 7), (10, 7)]",0.031214237213134766,7.700129747390747,30.229600189015745
