nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
11,1.0,0.0,0.0667,0.0,0.0,,36.0,332.0,child,1532,20,25,5,5,2,4,0,12,114.36279201507568,1437.5306692123413,True,v2,original_ranking,11,"[(5, 14), (8, 17), (2, 6), (3, 14), (2, 14), (3, 12), (5, 13), (14, 16), (8, 11), (16, 17), (2, 17)]",3.408812522888184,796.5645780563354,-2065.1753982758582
10,1.0,0.0,0.0606,0.0,0.0,,34.0,334.0,child,1009,20,25,5,5,2,4,0,12,114.36279201507568,1455.2179262638092,True,v2,original_ranking,10,"[(1, 3), (3, 11), (1, 8), (2, 12), (16, 17), (1, 14), (0, 11), (11, 16), (2, 13), (3, 6)]",5.520962715148926,1051.7849776744845,-1945.4305176081707
8,1.0,0.0,0.0485,0.0,0.0,,33.0,339.0,child,2250,20,25,5,5,2,4,0,12,114.36279201507568,1444.4826951026917,True,v2,original_ranking,8,"[(13, 19), (1, 4), (1, 2), (14, 18), (13, 18), (2, 6), (3, 14), (4, 9)]",4.340417861938477,882.2901818752289,-2724.755643118061
10,1.0,0.0,0.0606,0.0,0.0,,35.0,320.0,child,4447,20,25,5,5,2,4,0,12,114.36279201507568,1438.5200912952423,True,v2,original_ranking,10,"[(8, 14), (0, 3), (4, 8), (14, 18), (6, 8), (3, 11), (9, 14), (14, 16), (3, 4), (2, 14)]",5.472351312637329,1049.6760430336,-1862.2724040312023
11,1.0,0.0,0.0667,0.0,0.0,,36.0,319.0,child,2415,20,25,5,5,2,4,0,12,114.36279201507568,1443.370986700058,True,v2,original_ranking,11,"[(5, 14), (2, 17), (8, 14), (2, 4), (14, 19), (5, 12), (0, 19), (17, 19), (8, 11), (7, 17), (0, 2)]",4.4399261474609375,929.1743268966675,-2149.0991144403724
