nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,1009,5,12.206302881240845,0.9223682880401611,True,stand_alone_gradual,refined_ranking,0,[],0,0.5642783641815186,4.554132447431869
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,2250,5,12.206302881240845,0.920534610748291,True,stand_alone_gradual,original_ranking,4,"[(3, 0), (2, 0), (4, 0), (1, 0)]",0,1.3299531936645508,20.192058242016035
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,2250,5,12.206302881240845,0.920534610748291,True,stand_alone_gradual,refined_ranking,0,[],0,0.5609700679779053,4.012235968648463
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,cancer,4447,5,12.206302881240845,0.9278035163879395,True,stand_alone_gradual,original_ranking,3,"[(4, 0), (3, 0), (1, 0)]",0,0.8144681453704834,11.499104853256062
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,4447,5,12.206302881240845,0.9278035163879395,True,stand_alone_gradual,refined_ranking,0,[],0,0.5080316066741943,3.5747306857312147
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,2415,5,12.206302881240845,0.915947675704956,True,stand_alone_gradual,original_ranking,4,"[(4, 0), (1, 0), (2, 0), (3, 0)]",0,0.990959882736206,20.891249902351056
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,2415,5,12.206302881240845,0.915947675704956,True,stand_alone_gradual,refined_ranking,0,[],0,0.4075429439544678,4.551362688390461
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,3595,5,12.206302881240845,0.920642614364624,True,stand_alone_gradual,original_ranking,4,"[(4, 0), (3, 0), (2, 0), (1, 0)]",0,1.3437104225158691,21.78766985455563
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,3595,5,12.206302881240845,0.920642614364624,True,stand_alone_gradual,refined_ranking,0,[],0,0.5411207675933838,4.0653309684410255
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,4187,5,12.206302881240845,0.9237003326416016,True,stand_alone_gradual,original_ranking,4,"[(3, 0), (1, 0), (2, 0), (4, 0)]",0,1.316476821899414,20.89573519146757
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,4187,5,12.206302881240845,0.9237003326416016,True,stand_alone_gradual,refined_ranking,0,[],0,0.5459244251251221,4.627247642626203
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,4135,5,12.206302881240845,0.9214601516723633,True,stand_alone_gradual,original_ranking,4,"[(4, 0), (1, 0), (3, 0), (2, 0)]",0,1.3371760845184326,20.71753816457358
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,4135,5,12.206302881240845,0.9214601516723633,True,stand_alone_gradual,refined_ranking,0,[],0,0.5594854354858398,4.482365836277847
5,0.6,0.5,0.5,0.4,0.5,0.4444,3.0,14.0,cancer,5174,5,12.206302881240845,0.9264171123504639,True,stand_alone_gradual,original_ranking,5,"[(2, 0), (1, 0), (4, 0), (3, 0), (4, 3)]",0,1.3431713581085205,21.801954858442542
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,5174,5,12.206302881240845,0.9264171123504639,True,stand_alone_gradual,refined_ranking,0,[],0,0.5141646862030029,3.5207270740843963
5,0.6,0.5,0.5,0.4,0.5,0.4444,3.0,9.0,cancer,5303,5,12.206302881240845,0.9086570739746094,True,stand_alone_gradual,original_ranking,5,"[(3, 0), (2, 0), (4, 0), (1, 0), (4, 1)]",0,1.3440940380096436,20.966102361537722
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,5303,5,12.206302881240845,0.9086570739746094,True,stand_alone_gradual,refined_ranking,0,[],0,0.5425233840942383,4.088107580101707
6,0.6667,0.5,0.6667,0.3333,0.5,0.4,4.0,8.0,cancer,3942,5,12.206302881240845,0.9033107757568359,True,stand_alone_gradual,original_ranking,6,"[(3, 0), (3, 4), (2, 4), (1, 0), (2, 0), (4, 0)]",0,1.540701150894165,22.68849741113944
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,3942,5,12.206302881240845,0.9033107757568359,True,stand_alone_gradual,refined_ranking,0,[],0,0.6571571826934814,4.920818409638303
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,2778,5,12.206302881240845,0.9273703098297119,True,stand_alone_gradual,original_ranking,4,"[(4, 0), (3, 0), (1, 0), (2, 0)]",0,1.3365428447723389,20.33784025746439
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,2778,5,12.206302881240845,0.9273703098297119,True,stand_alone_gradual,refined_ranking,0,[],0,0.5596146583557129,4.5781586311516165
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,cancer,2804,5,12.206302881240845,0.91933274269104,True,stand_alone_gradual,original_ranking,3,"[(4, 0), (1, 0), (3, 0)]",0,0.8254730701446533,12.504232149240138
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,2804,5,12.206302881240845,0.91933274269104,True,stand_alone_gradual,refined_ranking,0,[],0,0.5121915340423584,3.809450103231123
5,0.6,0.5,0.5,0.4,0.5,0.4444,3.0,9.0,cancer,2145,5,12.206302881240845,0.9222097396850586,True,stand_alone_gradual,original_ranking,5,"[(2, 0), (1, 0), (4, 0), (3, 0), (3, 4)]",0,1.3245413303375244,20.58988682059826
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,2145,5,12.206302881240845,0.9222097396850586,True,stand_alone_gradual,refined_ranking,0,[],0,0.529634952545166,4.235322467476905
