dataset,model,seed,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high
cancer,NOTEARS-MLP,1428,2.686279058456421,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,8328,3.336047410964966,3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,11.0
cancer,NOTEARS-MLP,8289,2.643397092819214,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,5978,1.0245378017425537,1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0
cancer,NOTEARS-MLP,5511,3.802196502685547,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,5864,1.1152758598327637,1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0
cancer,NOTEARS-MLP,606,3.296152114868164,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,1933,3.1938045024871826,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,6071,1.3584074974060059,3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,11.0
cancer,NOTEARS-MLP,5504,3.230900764465332,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,5163,1.0422348976135254,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,2406,3.947181463241577,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,304,3.1158359050750732,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,3391,3.3517112731933594,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,359,3.3598058223724365,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,9096,1.0485165119171143,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,3533,0.7787423133850098,0,0.0,0.0,0.0,,0.0,,4.0,10.0,10.0
cancer,NOTEARS-MLP,4125,3.05531644821167,1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0
cancer,NOTEARS-MLP,3094,1.2171061038970947,1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0
cancer,NOTEARS-MLP,6398,1.1340727806091309,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
earthquake,Random,7816,0.00019359588623046875,4,0.5,0.5,0.3333,0.0,0.0,,6.0,7.0,16.0
earthquake,Random,3578,0.00018215179443359375,4,0.75,0.25,0.5,0.0,0.0,,7.0,11.0,16.0
earthquake,Random,2656,0.00018167495727539062,4,0.5,0.5,0.3333,0.25,0.25,0.25,4.0,8.0,13.0
earthquake,Random,2688,0.00018835067749023438,4,0.75,0.25,0.5,0.25,0.25,0.25,5.0,8.0,13.0
earthquake,Random,2494,0.00019288063049316406,4,0.75,0.25,0.5,0.25,0.25,0.25,6.0,3.0,8.0
earthquake,Random,183,0.0001823902130126953,4,0.75,0.25,0.5,0.25,0.25,0.25,5.0,8.0,13.0
earthquake,Random,7977,0.000186920166015625,4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0
earthquake,Random,3199,0.00018906593322753906,4,1.0,0.0,0.6667,0.0,0.0,,7.0,12.0,17.0
earthquake,Random,316,0.0001850128173828125,4,0.75,0.25,0.5,0.25,0.25,0.25,7.0,6.0,6.0
earthquake,Random,8266,0.0001914501190185547,4,0.75,0.25,0.5,0.25,0.25,0.25,6.0,8.0,13.0
earthquake,Random,1532,0.00018978118896484375,4,0.75,0.25,0.5,0.25,0.25,0.25,5.0,8.0,8.0
earthquake,Random,1009,0.00018215179443359375,4,0.75,0.25,0.5,0.25,0.25,0.25,5.0,8.0,8.0
earthquake,Random,2250,0.00018167495727539062,4,0.25,0.75,0.1667,0.5,0.5,0.5,3.0,1.0,11.0
earthquake,Random,4447,0.0001842975616455078,4,1.0,0.0,0.6667,0.0,0.0,,7.0,11.0,11.0
earthquake,Random,2415,0.0001933574676513672,4,1.0,0.0,0.6667,0.0,0.0,,7.0,12.0,12.0
earthquake,Random,3595,0.0001804828643798828,4,0.75,0.25,0.5,0.25,0.25,0.25,7.0,5.0,10.0
earthquake,Random,4187,0.0001819133758544922,4,1.0,0.0,0.6667,0.0,0.0,,8.0,7.0,16.0
earthquake,Random,4135,0.00018310546875,4,0.5,0.5,0.3333,0.25,0.25,0.25,5.0,9.0,19.0
earthquake,Random,5174,0.00019049644470214844,4,0.5,0.5,0.3333,0.0,0.0,,6.0,7.0,16.0
earthquake,Random,5303,0.0001957416534423828,4,1.0,0.0,0.6667,0.0,0.0,,8.0,6.0,11.0
earthquake,Random,3942,0.0001842975616455078,4,1.0,0.0,0.6667,0.0,0.0,,8.0,12.0,17.0
earthquake,Random,2778,0.0001800060272216797,4,1.0,0.0,0.6667,0.0,0.0,,7.0,12.0,18.0
earthquake,Random,2804,0.0001933574676513672,4,1.0,0.0,0.6667,0.0,0.0,,8.0,5.0,12.0
earthquake,Random,2145,0.00018739700317382812,4,0.75,0.25,0.5,0.25,0.25,0.25,5.0,8.0,8.0
earthquake,Random,150,0.0001811981201171875,4,0.75,0.25,0.5,0.0,0.0,,6.0,12.0,17.0
earthquake,Random,8823,0.00019502639770507812,4,0.75,0.25,0.5,0.0,0.0,,7.0,6.0,16.0
earthquake,Random,4669,0.00018405914306640625,4,0.75,0.25,0.5,0.25,0.25,0.25,4.0,10.0,10.0
earthquake,Random,6131,0.0001819133758544922,4,0.75,0.25,0.5,0.0,0.0,,7.0,12.0,17.0
earthquake,Random,2617,0.00019860267639160156,4,0.75,0.25,0.5,0.0,0.0,,7.0,6.0,12.0
earthquake,Random,7166,0.0001850128173828125,4,0.75,0.25,0.5,0.25,0.25,0.25,5.0,8.0,13.0
earthquake,Random,1428,0.00018858909606933594,4,0.75,0.25,0.5,0.25,0.25,0.25,5.0,8.0,13.0
earthquake,Random,8328,0.0001823902130126953,4,1.0,0.0,0.6667,0.0,0.0,,8.0,7.0,16.0
earthquake,Random,8289,0.00019311904907226562,4,0.5,0.5,0.3333,0.25,0.25,0.25,5.0,4.0,14.0
earthquake,Random,5978,0.0001838207244873047,4,0.75,0.25,0.5,0.25,0.25,0.25,5.0,10.0,15.0
earthquake,Random,5511,0.00018262863159179688,4,0.5,0.5,0.3333,0.5,0.5,0.5,3.0,6.0,11.0
earthquake,Random,5864,0.00018167495727539062,4,0.25,0.75,0.1667,0.5,0.5,0.5,3.0,1.0,15.0
earthquake,Random,606,0.0001823902130126953,4,0.75,0.25,0.5,0.25,0.25,0.25,5.0,10.0,10.0
earthquake,Random,1933,0.00018167495727539062,4,0.75,0.25,0.5,0.0,0.0,,5.0,10.0,20.0
earthquake,Random,6071,0.00019049644470214844,4,0.25,0.75,0.1667,0.25,0.25,0.25,4.0,9.0,19.0
earthquake,Random,5504,0.00018358230590820312,4,0.75,0.25,0.5,0.25,0.25,0.25,6.0,5.0,13.0
earthquake,Random,5163,0.0001862049102783203,4,0.5,0.5,0.3333,0.0,0.0,,6.0,7.0,16.0
earthquake,Random,2406,0.00018358230590820312,4,1.0,0.0,0.6667,0.0,0.0,,7.0,11.0,17.0
earthquake,Random,304,0.00019311904907226562,4,0.5,0.5,0.3333,0.25,0.25,0.25,4.0,9.0,19.0
earthquake,Random,3391,0.00018858909606933594,4,0.5,0.5,0.3333,0.25,0.25,0.25,6.0,5.0,10.0
earthquake,Random,359,0.00018548965454101562,4,1.0,0.0,0.6667,0.0,0.0,,7.0,12.0,17.0
earthquake,Random,9096,0.00019025802612304688,4,0.75,0.25,0.5,0.0,0.0,,7.0,6.0,16.0
earthquake,Random,3533,0.00019502639770507812,4,0.75,0.25,0.5,0.0,0.0,,7.0,6.0,16.0
earthquake,Random,4125,0.0001895427703857422,4,0.75,0.25,0.5,0.25,0.25,0.25,6.0,4.0,18.0
earthquake,Random,3094,0.00018644332885742188,4,0.5,0.5,0.3333,0.5,0.5,0.5,4.0,6.0,15.0
earthquake,Random,6398,0.00018215179443359375,4,1.0,0.0,0.6667,0.0,0.0,,7.0,12.0,17.0
earthquake,MPC,7816,0.009241104125976562,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,MPC,3578,0.010076284408569336,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,2656,0.010622978210449219,6,0.3333,1.0,0.3333,0.3333,0.5,0.4,4.0,5.0,15.0
earthquake,MPC,2688,0.009131669998168945,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,MPC,2494,0.009863138198852539,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,183,1.1979169845581055,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,7977,0.009462356567382812,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,MPC,3199,0.009949684143066406,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,316,0.009771585464477539,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,8266,0.009807348251342773,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,1532,0.009138822555541992,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,MPC,1009,0.010084867477416992,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,2250,0.00914144515991211,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,MPC,4447,0.010024547576904297,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,2415,0.00980830192565918,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,3595,0.009168386459350586,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,MPC,4187,0.010051488876342773,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,4135,0.010034561157226562,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,5174,0.009821891784667969,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,5303,0.009805440902709961,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,3942,0.009849309921264648,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,2778,0.00974416732788086,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,2804,0.010209321975708008,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,2145,0.010012388229370117,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,150,0.009825468063354492,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,8823,0.009837150573730469,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,4669,0.009186267852783203,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,MPC,6131,0.009125471115112305,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,MPC,2617,0.010495662689208984,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,MPC,7166,0.010547399520874023,6,0.3333,1.0,0.3333,0.3333,0.5,0.4,4.0,5.0,15.0
earthquake,MPC,1428,0.00912785530090332,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,MPC,8328,0.009833335876464844,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,8289,0.009121894836425781,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,MPC,5978,0.009164094924926758,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,MPC,5511,0.009169816970825195,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,MPC,5864,0.00915670394897461,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,MPC,606,0.009997129440307617,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,1933,0.009845733642578125,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,6071,0.009845733642578125,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,5504,0.009878158569335938,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,5163,0.00982046127319336,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,2406,0.009165525436401367,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,MPC,304,0.009113073348999023,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,MPC,3391,0.010109424591064453,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,359,0.009966135025024414,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,9096,0.009117603302001953,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,MPC,3533,0.009140968322753906,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,MPC,4125,0.009858131408691406,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,3094,0.009112834930419922,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,MPC,6398,0.009186506271362305,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,NOTEARS-MLP,7816,17.076926946640015,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,3578,18.20410418510437,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,2656,16.61813449859619,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,2688,20.25556516647339,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,2494,21.81799578666687,4,0.5,0.5,0.3333,0.5,0.5,0.5,3.0,5.0,10.0
earthquake,NOTEARS-MLP,183,26.322915077209473,6,0.6667,0.5,0.6667,0.1667,0.25,0.2,5.0,8.0,15.0
earthquake,NOTEARS-MLP,7977,19.805544137954712,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,3199,17.185530424118042,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,316,24.45260214805603,5,0.4,0.75,0.3333,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,NOTEARS-MLP,8266,21.175790786743164,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,1532,22.05141520500183,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,1009,17.221084594726562,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,2250,21.763089656829834,5,0.4,0.75,0.3333,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,NOTEARS-MLP,4447,27.281293392181396,5,0.4,0.75,0.3333,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,NOTEARS-MLP,2415,17.765056371688843,6,0.3333,1.0,0.3333,0.3333,0.5,0.4,4.0,0.0,18.0
earthquake,NOTEARS-MLP,3595,18.52841544151306,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,4187,22.152076482772827,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,4135,25.713579654693604,5,0.4,0.75,0.3333,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,NOTEARS-MLP,5174,24.466474771499634,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,5303,15.276631116867065,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,3942,26.928784132003784,7,0.5714,0.75,0.6667,0.2857,0.5,0.3636,5.0,4.0,19.0
earthquake,NOTEARS-MLP,2778,21.649426221847534,6,0.6667,0.5,0.6667,0.1667,0.25,0.2,5.0,8.0,15.0
earthquake,NOTEARS-MLP,2804,17.416687726974487,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,2145,27.14387559890747,6,0.6667,0.5,0.6667,0.1667,0.25,0.2,5.0,8.0,15.0
earthquake,NOTEARS-MLP,150,21.663829803466797,6,0.6667,0.5,0.6667,0.1667,0.25,0.2,5.0,8.0,15.0
earthquake,NOTEARS-MLP,8823,20.164096355438232,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,4669,20.76492166519165,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,6131,22.70631718635559,6,0.3333,1.0,0.3333,0.3333,0.5,0.4,4.0,0.0,14.0
earthquake,NOTEARS-MLP,2617,15.41470456123352,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,7166,23.96086287498474,8,0.5,1.0,0.6667,0.25,0.5,0.3333,6.0,0.0,18.0
earthquake,NOTEARS-MLP,1428,22.509238958358765,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,8328,19.979599714279175,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,8289,15.826159477233887,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,5978,26.94518232345581,6,0.3333,1.0,0.3333,0.3333,0.5,0.4,4.0,0.0,18.0
earthquake,NOTEARS-MLP,5511,20.217938661575317,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,5864,23.4419527053833,5,0.4,0.75,0.3333,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,NOTEARS-MLP,606,23.779441118240356,4,0.5,0.5,0.3333,0.5,0.5,0.5,3.0,5.0,10.0
earthquake,NOTEARS-MLP,1933,22.88029670715332,6,0.3333,1.0,0.3333,0.3333,0.5,0.4,4.0,0.0,14.0
earthquake,NOTEARS-MLP,6071,24.673069953918457,5,0.4,0.75,0.3333,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,NOTEARS-MLP,5504,18.35488486289978,7,0.5714,0.75,0.6667,0.2857,0.5,0.3636,5.0,4.0,19.0
earthquake,NOTEARS-MLP,5163,18.940394639968872,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,2406,19.76925015449524,5,0.4,0.75,0.3333,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,NOTEARS-MLP,304,25.7039897441864,5,0.6,0.5,0.5,0.4,0.5,0.4444,4.0,9.0,14.0
earthquake,NOTEARS-MLP,3391,15.247844457626343,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,359,25.03118586540222,6,0.3333,1.0,0.3333,0.3333,0.5,0.4,4.0,0.0,18.0
earthquake,NOTEARS-MLP,9096,16.570748805999756,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,3533,19.712738275527954,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,4125,22.489704608917236,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,3094,19.937975645065308,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0
earthquake,NOTEARS-MLP,6398,21.44763684272766,6,0.3333,1.0,0.3333,0.3333,0.5,0.4,4.0,0.0,18.0
survey,Random,7816,0.00019431114196777344,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,6.0,19.0,19.0
survey,Random,3578,0.00019860267639160156,6,0.8333,0.1667,0.5556,0.1667,0.1667,0.1667,11.0,11.0,22.0
survey,Random,2656,0.00019311904907226562,6,0.6667,0.3333,0.4444,0.1667,0.1667,0.1667,10.0,13.0,24.0
survey,Random,2688,0.00018787384033203125,6,0.8333,0.1667,0.5556,0.1667,0.1667,0.1667,9.0,19.0,19.0
survey,Random,2494,0.00018930435180664062,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,8.0,17.0,23.0
survey,Random,183,0.00018835067749023438,6,0.6667,0.3333,0.4444,0.1667,0.1667,0.1667,10.0,12.0,24.0
survey,Random,7977,0.00019693374633789062,6,0.8333,0.1667,0.5556,0.1667,0.1667,0.1667,9.0,23.0,30.0
survey,Random,3199,0.0001995563507080078,6,1.0,0.0,0.6667,0.0,0.0,,10.0,24.0,24.0
survey,Random,316,0.00018787384033203125,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,8.0,15.0,28.0
survey,Random,8266,0.0001876354217529297,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,9.0,15.0,20.0
survey,Random,1532,0.0001895427703857422,6,0.6667,0.3333,0.4444,0.1667,0.1667,0.1667,10.0,10.0,16.0
survey,Random,1009,0.00018906593322753906,6,0.5,0.5,0.3333,0.5,0.5,0.5,6.0,11.0,23.0
survey,Random,2250,0.00019216537475585938,6,0.8333,0.1667,0.5556,0.1667,0.1667,0.1667,11.0,14.0,22.0
survey,Random,4447,0.00019860267639160156,6,0.5,0.5,0.3333,0.3333,0.3333,0.3333,7.0,8.0,25.0
survey,Random,2415,0.00019240379333496094,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,8.0,9.0,22.0
survey,Random,3595,0.00019359588623046875,6,1.0,0.0,0.6667,0.0,0.0,,11.0,17.0,23.0
survey,Random,4187,0.00019049644470214844,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,9.0,14.0,28.0
survey,Random,4135,0.00019240379333496094,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,6.0,14.0,20.0
survey,Random,5174,0.0002040863037109375,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,8.0,13.0,26.0
survey,Random,5303,0.00020003318786621094,6,1.0,0.0,0.6667,0.0,0.0,,11.0,18.0,30.0
survey,Random,3942,0.00019407272338867188,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,9.0,10.0,18.0
survey,Random,2778,0.00019073486328125,6,0.5,0.5,0.3333,0.5,0.5,0.5,7.0,12.0,18.0
survey,Random,2804,0.0001914501190185547,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,8.0,13.0,30.0
survey,Random,2145,0.00019502639770507812,6,0.8333,0.1667,0.5556,0.1667,0.1667,0.1667,11.0,8.0,15.0
survey,Random,150,0.00018405914306640625,6,0.8333,0.1667,0.5556,0.0,0.0,,10.0,13.0,19.0
survey,Random,8823,0.00018739700317382812,6,0.8333,0.1667,0.5556,0.1667,0.1667,0.1667,11.0,8.0,20.0
survey,Random,4669,0.0001850128173828125,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,9.0,10.0,18.0
survey,Random,6131,0.0001957416534423828,6,0.8333,0.1667,0.5556,0.1667,0.1667,0.1667,9.0,15.0,23.0
survey,Random,2617,0.00020074844360351562,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,9.0,14.0,27.0
survey,Random,7166,0.00020241737365722656,6,0.5,0.5,0.3333,0.3333,0.3333,0.3333,8.0,14.0,28.0
survey,Random,1428,0.00019693374633789062,6,0.8333,0.1667,0.5556,0.1667,0.1667,0.1667,10.0,13.0,19.0
survey,Random,8328,0.00019884109497070312,6,0.8333,0.1667,0.5556,0.1667,0.1667,0.1667,10.0,18.0,27.0
survey,Random,8289,0.00019407272338867188,6,0.5,0.5,0.3333,0.5,0.5,0.5,7.0,14.0,23.0
survey,Random,5978,0.00019359588623046875,6,0.3333,0.6667,0.2222,0.5,0.5,0.5,6.0,7.0,25.0
survey,Random,5511,0.0002028942108154297,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,8.0,15.0,22.0
survey,Random,5864,0.00020051002502441406,6,0.6667,0.3333,0.4444,0.1667,0.1667,0.1667,10.0,16.0,30.0
survey,Random,606,0.0001957416534423828,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,9.0,17.0,29.0
survey,Random,1933,0.00018906593322753906,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,7.0,13.0,19.0
survey,Random,6071,0.00019502639770507812,6,0.6667,0.3333,0.4444,0.1667,0.1667,0.1667,9.0,10.0,16.0
survey,Random,5504,0.00019025802612304688,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,8.0,7.0,25.0
survey,Random,5163,0.00019478797912597656,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,9.0,13.0,26.0
survey,Random,2406,0.0002048015594482422,6,0.5,0.5,0.3333,0.5,0.5,0.5,5.0,13.0,13.0
survey,Random,304,0.00020003318786621094,6,0.5,0.5,0.3333,0.3333,0.3333,0.3333,7.0,8.0,21.0
survey,Random,3391,0.00020933151245117188,6,0.5,0.5,0.3333,0.5,0.5,0.5,7.0,15.0,22.0
survey,Random,359,0.00020384788513183594,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,7.0,16.0,16.0
survey,Random,9096,0.00019860267639160156,6,0.5,0.5,0.3333,0.5,0.5,0.5,6.0,6.0,19.0
survey,Random,3533,0.00019049644470214844,6,0.8333,0.1667,0.5556,0.1667,0.1667,0.1667,10.0,18.0,26.0
survey,Random,4125,0.00020599365234375,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,10.0,8.0,21.0
survey,Random,3094,0.0001957416534423828,6,0.3333,0.6667,0.2222,0.5,0.5,0.5,5.0,4.0,17.0
survey,Random,6398,0.000202178955078125,6,0.5,0.5,0.3333,0.5,0.5,0.5,7.0,12.0,18.0
survey,MPC,7816,0.007788658142089844,4,0.25,0.5,0.1111,0.75,0.5,0.6,5.0,11.0,19.0
survey,MPC,3578,0.005666971206665039,3,0.0,0.5,0.0,1.0,0.5,0.6667,4.0,6.0,14.0
survey,MPC,2656,0.008240938186645508,5,0.0,0.8333,0.0,0.8,0.6667,0.7273,4.0,1.0,25.0
survey,MPC,2688,0.008076190948486328,5,0.0,0.8333,0.0,0.8,0.6667,0.7273,4.0,1.0,25.0
survey,MPC,2494,0.005118608474731445,3,0.0,0.5,0.0,1.0,0.5,0.6667,4.0,6.0,14.0
